Albergo,Indirizzo,Cap,Citta,Prov,Contatto,Stelle,Catena,Telefono,Web,Email,CamereSuite,PUNTEGGIO SU BOOKING,N Giudizi,FlagTerme,DoublePriceMin,FBLink
AC10 LIVORNO,"Via Giotto Ciardi, 28",57121,Livorno,LI,NULL,4,AC 10 HOTELS,0586426722,http://www.maxhotels.it/,livorno@maxhotels.it,104,,,NULL,0,
CRISTALLO,"Via Lombardia, 35",53042,Chianciano Terme,SI,NULL,3,,,NULL,,104,,,1,0,
GRAND HOTEL BELLAVISTA PALACE & GOLF,"Viale Fedeli, 2",51016,Montecatini Terme,PT,NULL,5,,,http://www.bellavistamontecatini.it/,info@bellavistamontecatini.it,104,,,1,0,
Grand Hotel Nizza et Suisse,Viale Verdi 72,51016,Montecatini Terme,PT,NULL,4,,,http://www.grandhotelnizza.it/,info@grandhotelnizza.it,104,,,NULL,90,
MAX Hotel Livorno,Via Giotto Ciardi 28,57121,Livorno,LI,NULL,4,,,http://www.maxhotels.it/,livorno@maxhotels.it,104,,,NULL,85.5,
PANORAMIC,"Viale Bustichini, 65",51016,Montecatini Terme,PT,NULL,4,GALLIGANIHOTELS,057278381,http://WWW.GRANDHOTELPANORAMIC.IT,panoramic@email.it,104,,,1,0,
Grand Hotel Principe di Piemonte,Piazza Giacomo Puccini 1,55049,Viareggio,LU,NULL,4,,0584 4011,http://www.principedipiemonte.com/,"assistenza@blastness.com,info@principedipiemonte.com",106,,,NULL,169,
GRAND HOTEL PRINCIPE DI PIEMONTE L,"P.zza Puccini, 1",55049,Viareggio,LU,Ariela D,4,Mita Hotels,+39 0584 4011,http://www.principedipiemonte.com,info@principedipiemonte.com,106,,,NULL,0,
Villa delle Rose,Via del Castellare 21,51017,Pescia,PT,NULL,4,,,http://www.rphotels.com/,*,106,,,NULL,69,
VILLA DELLE ROSE,"Via Del Castellare, 21",51012,Pescia,PT,NULL,3,,,NULL,hotelvilladellerose@tin.it,106,,,NULL,0,
AC Pisa,Via delle Torri - Località Cisanello,56124,Pisa,PI,NULL,4,,,http://www.marriott.com/hotels/travel/psaps-ac-hotel-pisa/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2,*,107,,,NULL,75,
ANGLO AMERICAN,"Via Giuseppe Garibaldi, 9",50100,Firenze,FI,NULL,4,,,https://www.nh-hotels.it/hotel/nh-firenze-anglo-american,nhangloamerican@nh-hotels.com,107,,,NULL,0,
BEST WESTERN GRAND HOTEL ROYAL,"Viale Carducci, 44",55049,Viareggio,LU,NULL,4,,,http://www.hotelroyalviareggio.it,info@hotelroyalviareggio.it,107,,,NULL,0,
DEL GOLFO,Via Provinciale,57030,Procchio,LI,NULL,4,,,http://www.hoteldelgolfo.it/,*,107,,,NULL,0,
Grand Hotel,Piazza Ognissanti 1,50123,Firenze,FI,NULL,5,,055 27161,http://www.stregisflorence.com/?SWAQ=958C,nr@seenError,107,,,NULL,295,
GRAND HOTEL,"Piazza Ognissanti, 1",50100,Firenze,FI,NULL,5,,,NULL,,107,,,NULL,0,
GRAND HOTEL,"Piazza Italia, 80",53042,Chianciano Terme,SI,NULL,4,,,http://www.grand-hotel-terme-chianciano.com/,ig-badge-view-sprite-24@2x.png,107,,,1,0,
HOTEL LACONA,Viale dei Golfi 544b – Isola d’Elba,57031,Capoliveri,LI,Robi Veltroni,4,,0565964050,http://www.hotellacona.com,booking@tuscanhotels.it,107,,,0,0,
EUROPA,"Via Della Querceta, 2",51016,Montecatini Terme,PT,NULL,3,,,http://www.hoteleuropa.eu/,info@hoteleuropa.net,108,,,1,0,
NIZZA ET SUISSE,"Viale Verdi, 72",51016,Montecatini Terme,PT,NULL,4,E'hotelS,057279691,http://www.grandhotelnizza.it,info@grandhotelnizza.it,108,,,1,0,
PHALESIA,"Viale Regina Margherita, 110",57025,Piombino,LI,NULL,4,,,NULL,phalesia@tin.it,108,,,NULL,0,
SANTA CHIARA,"Via Dei Colli, 50",53042,Chianciano Terme,SI,NULL,3,,,NULL,hotelschiara@libero.it,108,,,1,0,
Art Hotel Museo,Viale della Repubblica 289,50047,Prato,PO,NULL,4,,0574 5787,http://www.arthotel-museo.it/,info@arthotel-milano.it,110,,,NULL,60,
ART HOTEL MUSEO,"Viale Della Repubblica, 289",59100,Prato,PO,NULL,4,ART HOTEL ITALY,05745787,http://www.arthotel.it,internetmanager@arthotel-museo.it,110,,,NULL,0,
FIRENZE NOVA,"Via Panciatichi, 51",50100,Firenze,FI,NULL,3,,,http://www.firenzenova.it,reception@firenzenova.it,110,,,NULL,0,
Golden Tulip Mirage Hotel,Via Francesco Baracca 231/18,50127,Firenze,FI,NULL,4,,055 352011,http://www.hotelmirage.it/,info@hotelmirage.it,111,,,NULL,64.68,
MIRAGE,"Via F. Baracca, 231 18",50100,Firenze,FI,NULL,4,,,NULL,,111,,,NULL,0,
Auto Park Hotel,Via Valdegola 1,50127,Firenze,FI,NULL,3,,055 431771,http://www.hotelautopark.com/,info@hotelautopark.com,113,,,NULL,59,
GOLF HOTEL,"Via Del Gualdo, 2",58043,Castiglione Della Pescaia,GR,NULL,4,,,NULL,,113,,,NULL,0,
Ambasciatori B&H Hotels,Via Luigi Alamanni 3,50123,Firenze,FI,NULL,4,,(415) 821-6545,https://www.hotelambasciatori.net/index.html,*,114,,,NULL,87.5,
AUTO PARK HOTEL,"Via Valdegola, 1",50100,Firenze,FI,NULL,3,,,NULL,,114,,,NULL,0,
BEST WESTERN HOTEL ADRIATICO,"Via M. Finiguerra, 9",50100,Firenze,FI,NULL,4,,,http://www.hoteladriatico.it/,info@hoteladriatico.it,114,,,NULL,0,
Grand Hotel Royal,Viale Carducci 44,55049,Viareggio,LU,NULL,4,,0584 45151,http://www.hotelroyalviareggio.it/,info@hotelroyalviareggio.it,114,,,NULL,89,
NH Anglo American,Via Garibaldi 9,50123,Firenze,FI,NULL,4,,055 282114,https://www.nh-hotels.it/hotel/nh-firenze-anglo-american,nhangloamerican@nh-hotels.com,114,,,NULL,132,
AMBASCIATORI,"Via V. Della Liberta', 512",53042,Chianciano Terme,SI,NULL,4,,057864371,http://www.barbettihotels.it,ambasciatori@barbettihotels.it,115,,,1,0,
Francia e Quirinale,Viale IV Novembre 77,51016,Montecatini Terme,PT,NULL,4,,,http://www.franciaequirinale.it/,info@franciaequirinale.it,115,,,NULL,60,
Grand Hotel Ambasciatori,Viale della Libertà 512,53042,Chianciano Terme,SI,NULL,4,,0578 64374,https://ambasciatori.barbettihotels.it/,ambasciatori@barbettihotels.it,115,,,NULL,105,
FIRST,"Via D. Ciolli, 5",50041,Calenzano,FI,NULL,4,SPACE HOTELS,,http://www.hotelfirst.it,firenze@hotelfirst.it,116,,,NULL,0,
AC Hotel Firenze,Via Luciano Bausi 5,50100,Firenze,FI,NULL,4,,,http://www.marriott.com/hotels/travel/flrfi-ac-hotel-firenze/?scid=bb1a189a-fec3-4d19-a255-54ba596fe,*,118,,,NULL,110,
FRANCIA E QUIRINALE,"Viale Iv Novembre, 77",51016,Montecatini Terme,PT,NULL,4,,,http://www.franciaequirinale.it/,info@franciaequirinale.it,118,,,1,0,
Starhotels Michelangelo,Viale Fratelli Rosselli 2,50123,Firenze,FI,NULL,4,,055 27841,http://www.starhotels.com/en/our-hotels/michelangelo-florence/?utm_source=google&utm_medium=local&ut,*,119,,,NULL,81,
B&B Hotel Firenze Nuovo Palazzo di Giustizia,Viale Alessandro Guidoni 87,50127,Firenze,FI,NULL,3,,(415) 775-1755,http://www.hotel-bb.com/it/hotel/firenze-nuovo-palazzo-giustizia.htm?utm_source=googlemaps&utm_mediu,fi.giustizia@hotelbb.com,120,,,NULL,55,
GRAND HOTEL CROCE DI MALTA,"Viale Iv Novembre, 18",51016,Montecatini Terme,PT,NULL,4,,,http://www.grandhotelcrocedimalta.com/it,info@crocedimalta.com,120,,,1,0,
Lacona,Viale dei Golfi,57031,Capoliveri,LI,NULL,4,,0565 964 050,http://www.hotellacona.com,booking@hotellacona.com,120,,,NULL,134,
MODERNO.,"Via Londra, 5",50100,Pontassieve,FI,NULL,4,,0558315541,http://www.hotelmodernofirenze.it/,info@hotelmodernofirenze.it,120,,,NULL,0,
SAN SIMEONE,"Costa Della Chiesa, 11",53023,Castiglione D'Orcia,SI,NULL,3,,,http://www.hotelsansimeone.com,info@hotelsansimeone.com,120,,,1,0,
Abitalia Tower Plaza,Viale delle Cascine angolo Via Aurelia,56122,Pisa,PI,NULL,5,,,http://www.abitaliatowerplaza.it/,info@abitaliatowerplaza.it,121,,,NULL,109.6,
GARDEN,"Via Custoza, 2",53100,Siena,SI,NULL,4,Charme & Relax,,http://www.gardenhotel.it/,info@gardenhotel.it,122,,,NULL,0,
Grand Hotel Elba International,Località Naregno,57031,Capoliveri,LI,NULL,4,,0565 946111,http://www.elbainternational.it/,info@elbainternational.it,122,,,NULL,138,
Cordial Golf Residence Il Pelagone,Località Il Pelagone 28 - Via Aurelia km 219,58023,Gavorrano,GR,NULL,4,,,http://www.cordial.at/en/Hotel_und_Golf_Resort_Il_Pelagone_Toskana/,chpelagone@cordial.at,123,,,NULL,145,
Grand Hotel Palazzo Livorno,Viale Italia 195,57127,Livorno,LI,NULL,5,,,http://www.accorhotels.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=A2H1&merchantid=seo-maps-IT,ricevimento@ghpalazzo.it,123,,,NULL,140,
LACONA,Loc. Lacona,57031,Elba - Capoliveri - Lacona,LI,NULL,3,,,http://www.algest.it,lacona@algest.it,123,,,NULL,0,
Garden,Via Custoza 2,53100,Siena,SI,NULL,4,,0577 567 111,http://www.gardenhotel.it/,info@gardenhotel.it,125,,,NULL,84.15,
BEST WESTERN GRAND HOTEL ELBA INTERNATIONAL,"Loc. Baia Della Fontanella, 1",57031,Elba - Capoliveri - Naregno,LI,NULL,4,,,http://www.elbainternational.it,info@elbainternational.it,126,,,NULL,0,
Grand Hotel Adriatico,Via M. Finiguerra 9,50123,Firenze,FI,NULL,4,,055 2381781,http://www.hoteladriatico.it/it/,info@hoteladriatico.it,126,,,NULL,83.3,
First,Via Dino Ciolli 5,50041,Calenzano,FI,NULL,4,,,http://www.hotelfirst.it/,*,127,,,NULL,55,
STARHOTEL MONGINEVRO,"Via Di Novoli, 59",50100,Firenze,FI,NULL,4,,,NULL,,127,,,NULL,0,
NH Excelsior,Piazza la Lizza 1,53100,Siena,SI,NULL,4,,0577 382111,https://www.nh-hotels.it/hotel/nh-siena,nhsiena@nh-hotels.com,129,,,NULL,211.75,
Minerva,Via Fiorentina 4,52100,Arezzo,AR,NULL,4,,0575 178 9071,http://www.hotel-minerva.it/?utm_source=google_maps&utm_medium=organic&utm_campaign=mybusiness,info@hotel-minerva.it,130,,,NULL,89,
BEST WESTERN GRAND HOTEL ELBA INTERNATIONAL,"Baia Della Fontanella, 1",57031,Capoliveri,LI,NULL,4,,,http://www.elbainternational.it,direzione@elbainternational.it,131,,,NULL,0,
TOMBOLO,"Marina Di Castagneto - Via Del Corallo, 3",57022,Castagneto Carducci,LI,NULL,5,,,http://www.tombolotalasso.it/it/,info@grandhoteltombolo.com,131,,,NULL,0,
ALBERGO HOTEL MINERVA,"Via Fiorentina, 4",52100,Arezzo,AR,,4,,0575370390,http://www.hotel-minerva.it/?utm_source=google_maps&utm_medium=organic&utm_campaign=mybusiness,*,132,,,NULL,0,
Grand Hotel & La Pace,Via della Torretta 1,51016,Montecatini Terme,PT,NULL,5,,(415) 284-4000,http://www.grandhotellapace.it/,info@grandhotellapace.it,132,,,NULL,270,
HERMITAGE,"Via Biodola, 1",57037,Biodola,LI,NULL,4,,,http://www.hotelhermitage.it,info@hotelhermitage.it,134,,,1,0,
ACADEMY HOTEL,Via Lombardi,53100,Siena,SI,NULL,3,,,NULL,,136,,,NULL,0,
AMBASCIATORI,"Via Luigi Alamanni, 3",50123,Firenze,FI,NULL,4,,055055287421,https://www.hotelambasciatori.net/index.html,smartelli@hotelambasciatori.net,136,,,NULL,0,
DEGLI ULIVI,"Via A. Lombardi, 41",53100,Siena,SI,NULL,4,,,NULL,,136,,,NULL,0,
STARHOTELS MICHELANGELO,"Viale Fratelli Rosselli, 2",50100,Firenze,FI,NULL,4,,,http://www.starhotels.com/en/our-hotels/michelangelo-florence/?utm_source=google&utm_medium=local&ut,*,138,,,NULL,0,
Raffaello,Viale Morgagni 19,50134,Firenze,FI,NULL,4,,055 4224141,http://www.raffaellohotel.it/,odavolterra@virgilio.it,140,,,NULL,69,
RAFFAELLO,"Viale Morgagni, 19",50134,Firenze,FI,NULL,4,,0554224141,http://www.raffaellohotel.it,info@raffaellohotel.it,140,,,NULL,0,
TERME DI SATURNIA,Strada Della Follonata,58050,Saturnia - Manciano,GR,NULL,4,TERME DI SATURNIA,0564600111,http://www.termedisaturnia.it,alombardi@termedisaturnia.it,140,,,1,0,
GRAND HOTEL TAMERICI E PRINCIPE,"Viale Iv Novembre, 2",51016,Montecatini Terme,PT,NULL,4,,0572 71041,http://www.hoteltamerici.it,info@hoteltamerici.it,141,,,1,0,
VENTACLUB ORTANO MARE,"Ortano, 15",54038,Rio Marina,LI,NULL,4,,,http://www.ventaglio.com,ortano.direzione@ventaglio.com,141,,,NULL,0,
Grand Hotel Croce di Malta,Viale IV Novembre 18,51016,Montecatini Terme,PT,NULL,4,,0572 9201,http://www.grandhotelcrocedimalta.com/it,info@crocedimalta.com,145,,,NULL,75,
Grand Hotel Tamerici e Principe,Viale IV Novembre 4,51016,Montecatini Terme,PT,NULL,4,,0572 71041,http://www.hoteltamerici.it/,info@hoteltamerici.it,146,,,NULL,100,
Green Park Resort,Via dei Tulipani 1,56018,Pisa,PI,NULL,4,,050 3135711,http://www.greenparkresort.com/,greenpark@th-resorts.com,148,,,NULL,110,
GRAND HOTEL & LA PACE,"Corso Roma, 12",51016,Montecatini Terme,PT,NULL,5,,,http://www.grandhotellapace.it/,info@grandhotellapace.it,150,,,1,0,
HOLIDAY INN FLORENCE NORTH,Area Di Servizio Fi nord,50019,Sesto Fiorentino,FI,NULL,4,,,http://www.thegatehotel.it/,info@thegatehotel.it,151,,,NULL,0,
Unaway Firenze Nord - A1,Area di servizio Firenze Nord - A1,50013,Sesto Fiorentino,FI,NULL,4,,,http://www.thegatehotel.it/,info@thegatehotel.it,151,,,NULL,69,
NH Firenze,Piazza Vittorio Veneto 4/A,50123,Firenze,FI,NULL,4,,055 2770,https://www.nh-hotels.it/hotel/nh-firenze,nhfirenze@nh-hotels.com,152,,,NULL,198,
My One Hotel Galilei,Via Darsena 1,56125,Pisa,PI,NULL,4,,,http://www.hotelgalileipisa.it/,info@hotelgalileipisa.it,153,,,NULL,60,
BEST WESTERN GRAND HOTEL GUINIGI,"Via Romana, 1247",55100,Lucca,LU,NULL,4,Best Western,,http://www.grandhotelguinigi.it/,PageBase.vb@OnInit,158,,,1,0,
EXCELSIOR,"Piazza Ognissanti, 3",50100,Firenze,FI,NULL,5,,,NULL,,158,,,NULL,0,
Londra,Via Jacopo da Diacceto 18,50123,Firenze,FI,NULL,4,,055 27390,http://www.hotellondra.com/en/index.php,info@hotellondra.com,166,,,NULL,89,
Grand Hotel Guinigi,Via Romana 1247,55100,Lucca,LU,NULL,4,,0583 4991,https://www.grandhotelguinigi.it/,PageBase.vb@OnInit,167,,,NULL,89,
JOLLY HOTEL CARLTON,"Piazza Vittorio Veneto, 4A",50100,Firenze,FI,NULL,4,,,https://www.nh-hotels.it/hotel/nh-firenze,nhfirenze@nh-hotels.com,167,,,NULL,0,
GRANDUCA,"Via Statale Brennero, 13",56017,San Giuliano Terme,PI,NULL,4,,,http://www.hotelgranduca.it,reception@hotelgranduca.it,170,,,1,0,
The Westin Excelsior,Piazza Ognissanti 3,50123,Firenze,FI,NULL,5,,055 27151,http://www.westinflorence.com/?SWAQ=958C,nr@seenError,171,,,NULL,285,
Grand Hotel Continental,Largo Belvedere 26,56018,Pisa,PI,NULL,4,,,http://www.grandhotelcontinental.it/,info@grandhotelcontinental.it,175,,,NULL,109,
RIVA DEL SOLE,"Localita' Riva Del Sole, snc",58043,Castiglione Della Pescaia,GR,NULL,4,,0564928111,https://rivadelsole.it/,info@rivadelsole.it,175,,,NULL,0,
Novotel Firenze Nord Aeroporto,Via Tevere 23,50019,Sesto Fiorentino,FI,NULL,4,,,http://www.accorhotels.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=1798&merchantid=seo-maps-IT,H1798-RE@ACCOR.COM,180,,,NULL,79,
Il Ciocco Hotels & Resort,Località San Quirico,55020,Barga,LU,NULL,4,,,http://www.marriott.com/hotels/travel/lcvbr-renaissance-tuscany-il-ciocco-resort-and-spa/?scid=bb1a1,*,187,,,NULL,126,
FATTORIA LA PRINCIPINA,"S. P. Delle Collacchie, 465",58046,Principina Terra,GR,NULL,4,,056444141,http://www.maremma.toscana.it,info@italycongress.com,190,,,1,0,
Grand Hotel Baglioni,Piazza Unità Italiana 6,50100,Firenze,FI,NULL,4,,,http://www.hotelbaglioni.it/,infodesk@hotelbaglioni.it,193,,,NULL,111.35,
Fattoria La Principina,Via San Rocco 465,58046,Grosseto,GR,NULL,4,,,http://www.fattorialaprincipina.it/,info@fattorialaprincipina.it,194,,,NULL,100,
Hilton Florence Metropole,Via del Cavallaccio 36,50142,Firenze,FI,NULL,4,,,http://www3.hilton.com/en/hotels/italy/hilton-florence-metropole-FLRHFHI/index.html?WT.mc_id=zELWAKN,florencemetropole_info@hilton.com,212,,,NULL,135,
DELTA FLORENCE,"Via V. Emanuele, 3",50041,Calenzano,FI,NULL,4,,,NULL,,246,,,NULL,0,
Nilhotel,Via Barsanti 27A/B,50127,Firenze,FI,NULL,4,,,http://www.nilhotel.it/,info@nilhotel.it,246,,,NULL,90,
IL CIOCCO,Loc. San Quirico,55051,Castelvecchio Pascoli - Barga,LU,NULL,4,,,http://ciocco.it/it-it/,*,258,,,NULL,0,
Sheraton,Via Giovanni Agnelli 33,50126,Firenze,FI,NULL,4,,055 64901,http://www.conferenceflorentiahotel.com/,"assistenza@blastness.com,info@conferenceflorentiahotel.com",325,,,NULL,90,
Mediterraneo,Lungarno del Tempio 44,50121,Firenze,FI,NULL,4,,055 660241,http://www.hotelmediterraneo.com/,info@hotelmediterraneo.com,331,,,NULL,68,
GARDEN CLUB TOSCANA,Via Della Principessa,57027,San Vincenzo,LI,NULL,3,,,http://www.valtur.it/it/resort/garden-toscana/,scrivi@valtur.it,430,,,NULL,0,
CLUB HOTEL DE LA GARE,"Via S. Caterina Da Siena, 11",50100,Firenze,FI,NULL,3,,,NULL,,61,,,NULL,0,
Hermitage,Via Ginepraia 112,59016,Poggio a Caiano,PO,NULL,3,,055 877 7085,NULL,,61,,,NULL,75,
I PRESIDI,"Via Mura Di Levante, 34",58015,Orbetello,GR,NULL,3,,,https://www.ipresidi.com/,info@ipresidi.com,61,,,1,0,
Montebello Splendid,Via Garibaldi 14,50123,Firenze,FI,NULL,5,,055 27471,http://montebellosplendid.com/,k@P,61,,,NULL,168.75,
PARK HOTEL,"Via Roncacci, 30",53045,Chianciano Terme,SI,NULL,3,,,http://www.parkhotelchianciano.it/,info@parkhotelchianciano.it,61,,,1,0,
San Giorgio and Olimpic,Via Sant'Antonino 3,50123,Firenze,FI,NULL,3,,055 284 344,http://www.hotelsangiorgioflorence.com/,info@hotelsangiorgioflorence.com,61,,,NULL,62,
SANREMO,"Via Ingegnoli, 21",53042,Chianciano Terme,SI,NULL,3,,057863301,https://www.chiancianoterme.com/hotel/sanremo,albergosanremo@libero.it,61,,,1,0,
ART GALLERY,"Vicolo Dell'Oro, 5",50100,Firenze,FI,NULL,4,,,NULL,,62,,,NULL,0,
B&H Hotels Club,Via Santa Caterina da Siena 11,50123,Firenze,FI,NULL,3,,(415) 775-1755,https://www.hotelclubflorence.com/index.html,*,62,,,NULL,59,
DEI CORALLI,"Viale Degli Etruschi, 81",57034,Elba - Campo Nell'Elba - Marina Di Campo,LI,NULL,3,,,NULL,hcoralli@tin.it,62,,,NULL,0,
EUROPA,"Piazza Stazione, 10",50058,Signa,FI,NULL,3,,,http://www.hoteleuropasigna.it/,info@hoteleuropasigna.it,62,,,NULL,0,
GRAND HOTEL TERME,"Piazza Italia, 8",53042,Chianciano Terme,SI,NULL,4,,057863254,http://www.medeahotels.com,ght.prenotazioni@medeahotels.com,62,,,1,0,
HOLIDAY INN,Aurelia Km. 342+750 - Migliarino,56019,Vecchiano,PI,NULL,4,,,NULL,,62,,,NULL,0,
Holiday Inn Pisa-Migliarino,"Strada Statale Aurelia Km 342,750",56019,Vecchiano,PI,NULL,4,,,http://www.mediturhotelpisa.it/,info@mediturhotelpisa.it,62,,,NULL,0,
LA ROTONDA,"Via Dante, 52",56025,Pontedera,PI,NULL,3,,,NULL,hotellarotonda@tiscalinet.it,62,,,NULL,0,
Park Hotel Villa Ariston,Viale Sergio Bernardini 355,55043,Camaiore,LU,NULL,4,,0584 610 633,https://www.versiliarestaurants.it/,"info@villaariston.it,johnsmith@example.com,j@GZ.0Ddfc",62,,,NULL,128,
RESTHOTEL PRIMEVERE,"Via Aurelia Km, 342+750",56019,Vecchiano,PI,NULL,3,,,NULL,,62,,,NULL,0,
Rex,Via del Litorale 164,57128,Livorno,LI,NULL,4,,0586 580 400,http://www.hotelrex.it/,*,62,,,NULL,90,
REX,"Via Del Litorale, 164",57128,Livorno - Antignano,LI,NULL,4,,,http://www.hotelrex.it,info@hotelrex.it,62,,,NULL,0,
SANTA CATERINA,"Via Aurelia Nord, 14",57027,San Vincenzo,LI,NULL,3,,,NULL,,62,,,NULL,0,
Universo,Viale Baccelli 95,53042,Chianciano Terme,SI,NULL,3,,0578 64608,https://www.albergouniverso.com/,*,62,,,NULL,70,
VILLA MARGHERITA,"Via Marconi, 20",56034,Casciana Terme,PI,NULL,3,,0587646113,http://www.margherita-hotel.it,info@margherita-hotel.it,62,,,1,0,
Bracciotti,Viale Colombo 366,55043,Camaiore,LU,NULL,3,,0584 618401,https://www.hotelbracciotti.com/,*,63,,,NULL,80,
Gran Duca,Piazza Giuseppe Micheli 16,57123,Livorno,LI,NULL,4,,,http://www.granduca.it/,*,63,,,NULL,126,
HERMITAGE,"Via Cesare Battisti, 50",55042,Forte Dei Marmi,LU,NULL,4,,,http://www.albergohermitage.it,info@albergohermitage.it,63,,,NULL,0,
La Pace,Viale A. Gramsci 14,56125,Pisa,PI,NULL,3,,050 29351,http://www.hotellapace.it/,*,63,,,NULL,74,
MANZONI,"Viale Manzoni, 28",51016,Montecatini Terme,PT,NULL,3,QUALITY HOTELS,,http://www.hotelmanzoni.info/,info@hotelmanzoni.info,63,,,1,0,
Michelangelo,Via delle Piane 146,53042,Chianciano Terme,SI,NULL,4,,,http://www.hotel-michelangelo.it/,info@hotel-michelangelo.it,63,,,NULL,80,
MICHELANGELO,"Via Delle Piane, 146",53042,Chianciano Terme,SI,NULL,4,,,NULL,hotelmichelangelo@libero.it,63,,,1,0,
Moderno,Via B. Peruzzi 19,53100,Siena,SI,NULL,3,,0577 288453,http://www.hotelmodernosiena.it/,*,63,,,NULL,90,
Oasi Neumann,Via delle Contesse 1,52044,Cortona,AR,NULL,3,,0575 630 354,http://www.hoteloasineumann.it/,info@hoteloasineumann.it,63,,,NULL,80,
PARK HOTEL GALILEO,"Via Prulli, 103",50066,Prulli - Reggello,FI,NULL,3,,,NULL,hotelgalileo@supereva.it,63,,,NULL,0,
Park Hotel Villa Ariston,"Viale S. Bernardini, 355",55043,Lido Di Camaiore,LU,"Federica Balducci (prenotazioni individuali) - Alexandra Stapf (meeting e congressi, eventi, nozze)",4,,0584610633,https://www.villaariston.it/,info@villaariston.it,63,,,NULL,0,
Torretta,Viale Bustichini 63,51016,Montecatini Terme,PT,NULL,4,,0572 70305,http://www.hoteltorretta.it/it/index.php,info@hoteltorretta.it,63,,,NULL,60,
Versilia Palace Hotel,Viale Roma 27 - Località Fiumetto,55045,Pietrasanta,LU,NULL,4,,0584 745 848,http://www.hotel-versiliapalace-versilia.com/,versiliapalace@remarhotels.com,63,,,NULL,100,
Wall Art,Viale della Repubblica 8,59100,Prato,PO,NULL,4,,,http://www.wallart.it/,info@wallart.it,63,,,NULL,80,
