ZONA: Chianti,,,,,,
"Agriturismo Casa Alle Vacche San Gimignano
",☆☆,"Località Lucignano, 73/a - San Gimignano (SI)",577955103,info@casaallevacche.it,http://www.casallevacche.it/it_azienda.html,
Ristorante Borgo Antico - Albergo Vittoria,☆☆,"Via Roma, 55-57 - 50028 Tavarnelle val di Pesa",21.12.00,---,http://www.albergovittoria.it/,
Ristorante Albergo Latini,☆,Via Dei Platani 1 Loc. La Steccaia San Gimignano (Siena),0577 945019,---,http://www.sangimignano.com/latini/index.htm,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ZONA: Firenze,,,,,,
NOME HOTEL,CATEGORIA,INDIRIZZO,Tel,,Web,
Villa La Vedetta,☆☆☆☆☆,"Viale Michelangiolo, 78",055 681631,info@villalavedettahotel.com,http://www.villalavedettahotel.it/,
Villa San Michele,☆☆☆☆☆,"Via Doccia, 4 - Fiesole (Firenze)",055 567 8200,info@villasanmichele.net,http://www.villasanmichele.com/web/ovil/villa_san_michele.jsp,
Hotel Savoy,☆☆☆☆☆,"Piazza della Repubblica, 7",055 27 35 1,reservations.savoy@roccofortehotels.com,http://www.hotelsavoy.it/,
Hotel Regency,☆☆☆☆☆,"Piazza Massimo D'Azeglio, 3",055 245247,info@regency-hotel.com,http://www.regency-hotel.com/en/10/hotel_florence.aspx,
Relais Santa Croce,☆☆☆☆☆,"Via Ghibellina, 87",055 2342230,santacroce.firenze@baglionihotels.com,http://www.relaisantacroce.com/,
,,,,,,
Hotel Baglioni,☆☆☆☆,"Piazza Unità Italiana 6,",16.00.00,info@hotelbaglioni.it,http://www.hotelbaglioni.it/,
Grand Hotel Minerva,☆☆☆☆,"Piazza Santa Maria Novella, 16",055 27230,info@grandhotelminerva.com,http://www.grandhotelminerva.com/,
,,,,,,
Hotel Roma Firenze,☆☆☆☆,"Piazza Santa Maria Novella, 8",055 210366,info@hotelromaflorence.com,http://www.hotelromafirenze.com/,
Hotel Londra,☆☆☆☆,"Via Jacopo da Diacceto, 16/20",055 27390,nfo@hotellondra.com,http://www.hotellondra.com/,
J & J Historic House hotel,☆☆☆☆,"Via di Mezzo, 20",055 26312,info@jandjhotel.net,http://www.jandjhotel.net/,
,,,,,,
Hotel Botticelli,☆☆☆,Via Taddea 8 -,055 290905,info@hotelbotticelli.it,http://www.hotelbotticelli.it/,
Casa del Garbo,☆☆☆,"Piazza della Signoria,8",Form,,http://www.casadelgarbo.it,
Palazzo Tolomei,☆☆☆,"Via Ginori, 19",3277023861,info@palazzotolomei.it,http://www.palazzotolomei.it/,
Residence Il Giglio,☆☆☆,VIA E. GASPERI N° 16,055 5048556,info@residenceilgiglio.it,http://www.residenceilgiglio.it/,
Hotel Leonardo da Vinci,☆☆☆,,,info@leonardodavincihotel.net,http://www.leonardodavincihotel.net,
,,,,,,
Hotel Esperanza,☆☆,Via dell` Inferno 3,055 213 773,info@hotelesperanza.it,http://www.hotelesperanza.it,
Hotel Lombardi,☆☆,Via Fiume 8,21.07.00,hotel.lombardi@dada.it,http://www.hotellombardi.com/,
Hotel Santa Croce,☆☆,"Via dei Bentaccordi, 3",055 217 000,info@hotelsantacroce.it,http://www.hotelsantacroce.it/home.htm,
Hotel Fiorita,☆☆,Via Fiume 20,055 283189,info@hotelfiorita.com,http://www.hotelfiorita.com,
Hotel D’Azeglio,☆☆,"Via della Mattonaia, 43",055 2001809,info@hoteldazeglio-firenze.com,http://www.hoteldazeglio-firenze.com/,
,,,,,,
Hotel Giappone,☆,"Via dei Banchi,1",055 210090,info@hotelgiappone.com,http://www.hotelgiappone.com/,
Hotel Tina,☆,via S. Gallo 31,55483519,info@hoteltina.it,www.hoteltina.it,
,,,,,,
,,,,,,
,,,,,,
ZONA: Siena,,,,,,
NOME HOTEL,CATEGORIA,INDIRIZZO,Tel,,Web,
"Grand Hotel Continental
",☆☆☆☆☆,"Via Banchi di Sopra, 85 – 53100 Siena",0577 56011,Sales annalisa.guidi@royaldemeure.com,http://www.royaldemeure.com/grand_hotel_continental/ita/alberghi_5_stelle_siena.html,
"NH Excelsior
",☆☆☆☆,Piazza La Lizza. 53100 Siena,0577 382111,nhexcelsior@nh-hotels.com,http://www.nh-hotels.com/nh/en/hotels/italy/siena/nh-excelsior.html,
"Hotel Garden
",☆☆☆☆,"Via Custoza, 2, 53100 Siena",0577 567111,info@gardenhotel.it,http://www.gardenhotel.it/index.php,
"Villa Scacciapensieri
",☆☆☆☆,"Strada Scacciapensieri 10, 53100 Siena",0577 41441,info@villascacciapensieri.it ,http://www.villascacciapensieri.it/it/home.html,
"Hotel Athena
",☆☆☆☆,"Via P. Mascagni, 55 - 53100 Siena",0577 286 313, info@hotelathena.com,http://www.hotelathena.com/it/index.html,
Hotel Certosa Di Maggiano,☆☆☆☆,"Strada di Certosa, 82/86 53100 Siena ",0577 28 81 80,info@certosadimaggiano.it,http://www.certosadimaggiano.com/default.aspx,
Palazzo Ravizza,☆☆☆,"Pian Dei Mantellini 34, 53100 Siena",0577 280462   ,bureau@palazzoravizza.it,http://www.palazzoravizza.it/it/relais-siena,
Albergo-Recidence Borgo Grondaie,☆☆☆,Strada delle Grondaie - 53100 Siena, 0577 332539,hotel@borgogrondaie.com,http://www.borgogrondaie.com/Home.aspx,
Hotel Villa Elda,☆☆☆,"viale 24 Maggio, 10 - 53100 - Siena",0577 247927,info@villaeldasiena.it,http://www.villaeldasiena.it/#parent4-1,
Hotel Palazzo di Valli,☆☆☆,"Via E.S. Piccolomini, 135 - 53100 Siena",0577 226102,informazioni@palazzodivalli.it,http://www.palazzodivalli.it/,
Hotel Italia,☆☆☆," Viale Camillo Benso Conte di Cavour, 67 - 53100 Siena",0577 44248,info@hotelitalia-siena.it,http://www.hotelitalia-siena.it/,
"Albergo Cannon d'Oro
",☆☆,Siena (53100) - Via Montanini 28,0577 44321,info@cannondoro.com,http://www.cannondoro.com/,
"L'Aia Country Holidays
",☆☆,"Via Uopini 11 - Loc. Uopini, 53035 Siena",0577 51987 ,info@sienaholidays.com,http://aia.sienaholidays.com/,
Albergo Centrale,☆☆,"Via Cecco Angiolieri 26, 53100 Siena",0577 28 03 79,---,http://www.hotelcentralesiena.com/index.html,
"Soggiorno Lo Stellino
",☆☆,"Via Fiorentina 95, 53100 Siena",0577 51987, info@sienaholidays.com,http://stellino.sienaholidays.com/,
Podere Le Vigne,B&B,"Via Tufi 56, 53100 Siena",0577 286952,info@poderelevigne.it,http://www.poderelevigne.it/nuovo/index.html,
Hotel la Perla,NC,Piazza Indipendenza 25 - 53100 Siena ,0577 47144, info@hotellaperlasiena.com,http://www.hotellaperlasiena.com/index.php,
Il Rigo Guest House,☆,Localita Casabianca San Quirico d'Orcia, 02 91483034,---,---,
,,,,,,
,,,,,,
,,,,,,
ZONA: Toscana mare,,,,,,
NOME HOTEL,CATEGORIA,INDIRIZZO,Tel,,Web,
"Grand Hotel Principe Di Piemonte
",☆☆☆☆,"Piazza Giacomo Puccini 1, 55049Viareggio",0584 4011, info@principedipiemonte.com,http://www.principedipiemonte.com,
"Hotel Astor
",☆☆☆☆,"Lungomare Carducci 54, 55049Viareggio",0584 50301,reservationsvi@sinahotels.com,http://www.astorviareggio.com/,
"Palace Hotel
",☆☆☆☆,"Via Flavio Gioia 2, 55049Viareggio",0584/46134,info@palaceviareggio.com,http://www.palaceviareggio.com/ita/start.htm,
"Hotel Residence Esplanade
",☆☆☆☆,"Piazza Puccini, 18, 55049Viareggio",0584 54321  ,info@hotelresidenceesplanade.it,http://www.hotelresidenceesplanade.it/,
"Palazzo Guiscardo
",☆☆☆☆,"Provinciale 16, 55045Pietrasanta",0584 792914 ,info@palazzoguiscardo.it,http://www.palazzoguiscardo.it/,
"Grand Hotel Imperiale Forte dei Marmi
",☆☆☆☆☆,"Via Mazzini, 20, 55042Forte Dei Marmi",0584 78271 ,info@grandhotelimperiale.it,http://www.grandhotelimperiale.it,
Hotel Villa Roma Imperiale ,☆☆☆☆," Via Corsica, 9 55042F. dei Marmi (LU",0584 78830 , info@villaromaimperiale.com,http://www.villaromaimperiale.com,
Grand Hotel Palazzo,☆☆☆☆☆,"Viale Italia, 195 - 57127Livorno",0586 260836,info@grandhotelpalazzo.it,http://www.grandhotelpalazzo.it/,
Hotel Rex,☆☆☆☆,"Via del Littorale, 164 - 57128 Antignano(LI)", 0586.580400,---,http://www.hotelrexlivorno.com/livorno.html,
Hotel Gran Duca,☆☆☆☆,"Piazza Giuseppe Micheli, 16-18 
57123Livorno ",0586891024/5/6 ,granduca@granduca.it,http://www.granduca.it/ita/main.php,
Hotel Tirrenia,☆☆☆,"Via S.Martino, 23 - 55049 Viareggio", 0584 49641,info@tirreniahotel.it,http://www.tirreniahotel.it,
Hotel Nettuno,☆☆☆,"Via Versilia, 193 - 55044 Marina diPietrasanta",0584 746503,info@hotelnettunoversilia.it,http://www.hotelnettunoversilia.it,
Hotel Playa,☆☆☆,"Via Saffi, 20 - 55049 Viareggio (LU)",0584 44223 ,info@hotelplayaviareggio.it,http://www.hotelplayaviareggio.it/,
"Hotel Massimo
(Chimera conosce il proprietario)",☆☆☆,"via Roma 23, 55049 Viareggio",0584 50318,info@hotel-massimo.com,http://www.hotel-massimo.com,
Hotel Lupori,☆☆,Via Galvani 9 - 55049 Viareggio ,0584 962266,info@luporihotel.it,http://www.luporihotel.it/,
Hotel Miramare,☆☆,"Via Donati, 34 - 55042 Forte dei Marmi (LU",0584 787277,info@miramarehotel.org,http://www.miramarehotel.org/,
Hotel Versilia,☆☆,"Via Dante Alighieri, 33 - 55041 Lido di Camaiore",0584 618357 ,info@hotelversilia.com,http://www.hotelversilia.com/,
,,,,,,
Hotel i 4 Assi,☆,"Via Leonardo da Vinci, 58 - 55049 Viareggio", 0584 45089,info@hotel4assi.com,http://www.hotel4assi.com/,
Pensione Elena,Pensione,"v.le Morin 36, 55024 Forte dei Marmi", 0584/787532,info@pensionevillaelena.it,http://www.pensionevillaelena.it,
Hotel Villa Rosy,☆,Viale Marconi 315 Torre del Lago Puccini,0584 341350,info@villarosy.net,http://www.villarosy.net/Benvenuto.html,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ZONA: Toscana Isole,,,,,,
NOME HOTEL,CATEGORIA,INDIRIZZO,Tel,,Web,
Elba,,,,,,
Grand Hotel Elba International,☆☆☆☆,57031 Capoliveri Isola d'Elba (LI),0565 946662,info@elbainternational.it,http://www.elbainternational.it/,
Hotel Baia Imperiale,☆☆☆☆,57034 Marina di Campo,0565 987055,info@hotelbaiaimperiale.it,http://www.hotelbaiaimperiale.it/,
Hotel La Perla del Golfo,☆☆☆☆,57030 Procchio - Marciana,0565 907733,info@la perladelgolfo.it,http://www.laperladelgolfo.it/,
Hotel Ilio,☆☆☆,Capo S. Andrea,0565 908018,info@hotelilio.com,http://www.hotelilio.com/it/,
Hotel il Caminetto,☆☆☆,57037 Portoferraio,0565 915271,info@hotelilcamminetto.it,http://www.hotelilcaminetto.it/,
Hotel Imperia,☆☆,57033 Marciana Marina Viale Amedeo 12,0565 904026,info@hotelimperia.it,http://www.hotelimperia.it/,
Hotel Etrusco,☆☆,Località Aia - Rio Marina,0565 94289,information@hoteletrusco.com,http://www.hoteletrusco.com/,
,,,,,,
,,,,,,
Isola del Giglio - Castello,,,,,,
Il Pellicano,☆☆☆☆☆,58018 Porto Ercole Loc. Sbarcatello,0564 858111,reservations@pellicanohotels.com,http://www.pellicanohotel.com/it/hotel-5-stelle-toscana.html,
Argentario Golf Resort & Spa,☆☆☆☆☆,"58018 Porto Ercole, Via Acquedotto Leopoldino",0564 810292,info@argentariogolfresortspa.it,http://www.argentariogolfresortspa.it/,
Hotel Torre di Cala Piccola,☆☆☆☆,58019 Porto Santo Stefano GR,0564 825111,info@torredicalapiccola.com,http://www.torredicalapiccola.com/index.php?lang=ita,
San Biagio Relais,☆☆☆☆,"58015 Orbetello, via Dante, 36",0564 860543,info@sanbiagiorelais.com,http://www.sanbiagiorelais.com/,
Hotel la Caletta,☆☆☆,"58019 Via Civini, 10 Monte Argentario",0564 812939,info@hotelcaletta.it,http://www.hotelcaletta.it/,
Hotel Alfiero,☆☆,"58019 Porto Santo Stefano GR, via Cuniberti,12",0564 814067,,http://www.hotelalfiero.com/,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ZONA: Costiera Amalfitana,,,,,,
NOME HOTEL,CATEGORIA,INDIRIZZO,Tel,,Web,
Grand Hotel Il Saraceno,☆☆☆☆☆,Amalfi,089 831148,info@saraceno.it ,http://www.saraceno.it/,
Covo dei Saraceni,☆☆☆☆☆,Positano,,,http://www.covodeisaraceni.it/,
Hotel Caruso,☆☆☆☆☆L,"Piazza San Giovanni del Toro, 2 84010 Ravello SA",089 858 801,info@hotelcaruso.net,http://www.hotelcaruso.it/web/orav_it/hotel_caruso_ravello.jsp?hll=1,
Hotel Santa Caterina,☆☆☆☆☆L,Amalfi,089 871012,info@hotelsantacaterina.it,http://www.hotelsantacaterina.it/,
Casa Angelina,☆☆☆☆☆,"Via G. Capriglione 147, Praiano SA",089 8131333,reservations@casangelina.com,http://www.casangelina.com/,
,,,,,,
Buca di Bacco,☆☆☆☆,"Via Rampa Teglia 4, Positano",089 875699,info@bucadibacco.it,http://www.bucadibacco.it/,
Hotel Palazzo Murat,☆☆☆☆,"Via dei Mulini 23, Positano",089 875177,,http://www.palazzomurat.it/index.html,
Olimpico Hotel & Resort,☆☆☆☆,"Via Lago Trasimeno, Pontecagnano",089 203 004,info@hotelolimpico.it,http://www.hotelolimpico.it/,
Hotel Luna Convento,☆☆☆☆,"Via Pantaleone Comite 33, 84011 SA",089 871002,info@lunahotel.it,http://www.lunahotel.it/,
,,,,,,
Hotel Alfonso a Mare,☆☆☆,Praiano - Furore SA,089 874 091,info@alfonsoamare.it,http://www.alfonsoamare.it,
Hotel la Certosa,☆☆☆,Massa Lubrense NA,081 8081245,info@hotelcertosa.com,http://www.hotelcertosa.com/it/,
Villa Felice Relais,☆☆☆,"Via Salita Tuoro, 84011 Amalfi",089 831946,info@villafeliceamalfi.it,http://www.villafeliceamalfi.it/,
Hotel Pupetto,☆☆☆,Positano,089 875087,info@hotelpupetto.it,http://www.hotelpupetto.it,
,,,,,,
Villa Rosa,B&B,Positano,089 811955,info@villarosapositano.it,http://www.villarosapositano.it,
,,,,,,
Hotel Le Sirene,☆☆,"Via S. Nicola 10, 84010 Praiano",089 874013,info@lesirene.com,http://www.lesirene.com/,
Hotel Open Gate,☆☆,Praiano,089 9887367,hotelopengate@yahoo.it,http://www.hotelopengate.it,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ZONA: Venezia,,,,,,
NOME HOTEL,CATEGORIA,INDIRIZZO,Tel,,Web,
San Clemente Palace Hotel & Resort,☆☆☆☆☆," Isola di San Clemente 1, 30124, Venezia, Italia", 041 2445001,info@sanclementepalacevenice.com,http://www.sanclementepalacevenice.com/it/,
Bauer Hotel,☆☆☆☆☆," S. MARCO 1459, VENEZIA,", 041 5207022,---,http://www.bauervenezia.com/,
Baglioni Hotels,☆☆☆☆☆,"San Marco, 1243, 30124 Venezia",041 5289840 , luna.venezia@baglionihotels.com,http://www.baglionihotels.com/it,
Hotel Metropole,☆☆☆☆☆,Riva degli Schiavoni 4149 30122 Venezia Italy,041 52 050 44,venice@hotelmetropole.com,http://www.hotelmetropole.com/ita/,
Hotel Danieli,☆☆☆☆☆,"Rive degli Schiavoni 4196, 30122 Venezia",---,---,http://danieli.hotelinvenice.com/index_it.html,
Palace Bonvecchiati,☆☆☆☆☆,"San Marco, Calle dei Fabbri 4680 30124 Venezia",041 2963111 ,info@palacebonvecchiati.it,http://www.palacebonvecchiati.it/it/,
Hotel Pesaro Palace,☆☆☆☆,Cannaregio 3935 - 30121 Venezia,041 2960748, info@hotelpesaropalace.it,http://www.hotelpesaropalace.it/italiano/,
Hotel al Codega,☆☆☆☆,"Corte del Forno Vecchio - S. Marco, 4435 - 30124 Venice",04.52.00,---,http://www.hotelalcodega.com/,
Star Hotel - Splendid Venice,☆☆☆☆,"S. Marco Mercerie 760 |
Venezia |30124 |Italy ",041 5200755,splendidvenice.ve@starhotels.it,http://splendidvenice.starhotels.com/en/home.aspx,
Palazzo Paruta,☆☆☆☆,(Campo Sant'Angelo) San Marco 3824 | 30124 Venezia,041 2410835,booking@palazzoparuta.com,http://www.palazzoparuta.com/it/,
Palazzo Stern,☆☆☆☆,Dorsoduro 2792/A - 30123 Venezia,041 2770869,info@palazzostern.it,http://www.palazzostern.it/,
Hotel al Duca di Venezia,☆☆☆,Fontego dei Turchi 1739 Santa Croce 30135 Venezia ,20.41.00,info@alducadivenezia.com,http://www.alducadivenezia.com/it/,
Hotel dell’opera,☆☆☆, San Marco 2009 - Venezia,01.59.00,info@hoteldelloperavenice.com,http://www.hoteldelloperavenice.com/it/,
,,,,,,
Hotel San Luca,☆☆☆,"Calle dei Fabbri, 4671 San Marco",20.13.00, info@hotelsanlucavenice.com,http://www.hotelsanlucavenice.com/,
Hotel Campiello,☆☆☆,Castello 4647 (Campiello del Vin),041 52 05 764,---,http://www.hcampiello.it/,
Hotel Mercurio,☆☆,"Calle del Fruttariol, San Marco 1848",23.43.00, info@hotelmercurio.com  ,http://www.hotelmercurio.com/it/index.htm,
Hotel Al Malcanton,☆☆,"Corte Surian 3587, Dorsoduro",.041.2750897 , info@hotelalmalcanton.com,http://www.hotelalmalcanton.com/it/,
Hotel Orion,☆☆,San Marco 700/a,041 5223053, info@hotelorion.it,http://www.hotelorion.it/index_it.html,
Hotel Falier,☆☆,"Salizada San Pantalon, 130", 041.710882,reception@hotelfalier.com,http://www.hotelfalier.com/,
Hotel Bartolomeo,☆☆,S.Marco 5494 , 041 5235387,nfo@hotelbartolomeo.com,http://www.hotelbartolomeo.com/english/,
Hotel Santa Lucia,☆,"sestiere Cannaregio 358, 30121",06.00.00,info@hotelslucia.com,www.hotelslucia.com,
"Hotel San Maurizio
",☆,sestiere San Marco 2624,041.52 89 712,info@residenzasanmaurizio.com,www.residenzasanmaurizio.com,
"Hotel Casa Boccassini 
",☆,"sestiere Cannaregio 5295, 30131 Venezia",04.48.00,info@hotelboccassini.com,www.hotelboccassini.com,
"Hotel Marte e Biasin
",☆," sestiere Cannaregio 388-1252, 30122 Venezia",16.11.00,info@hotelmarteebiasin.com,www.hotelmarte.eu,
"Hotel Albergo Ai Tolentini 
",☆,"sestiere Santa Croce 197/4, 30131 Venezia",07.28.00,info@albergoaitolentini.it,www.albergoaitolentini.it,
"Hotel Al Vagon
",☆,"sestiere cannaregio 5619, 30121 Venezia",09.26.00,info@hotelalvagon.com,www.hotelalvagon.com,
"Hotel Marte e Biasin
",☆,"sestiere Cannaregio 388-1252, 30122 Venezia",16.11.00,info@hotelmarteebiasin.com,www.hotelmarte.eu,
,,,,,,
,,,,,,
ZONA: ROMA,,,,,,
NOME HOTEL,CATEGORIA,INDIRIZZO,Tel,,Web,
Raphael Hotel,☆☆☆☆☆,Largo Febo 2 - Piazza Navona (Centro Storico) 00186,06 682831,reservation@raphaelhotel.it,http://www.hotelraphael.it,
Aldrovandi Villa Borghese,☆☆☆☆☆,"Via Ulisse Aldrovandi 15, 00197 Roma",06 322 3993,hotel@aldrovandi.com,http://aldrovandi.com/,
Grand Hotel Via Veneto,☆☆☆☆☆L,"via Vittorio Veneto, 155 - 00187 ",06 48 78 81,info@ghvv.it,http://www.ghvv.it/,
Hotel de Russie,☆☆☆☆☆,Via del Babuino 9,06 32 88 81,reservations.derussie@roccofortehotels.com,http://www.hotelderussie.it/,
Exedra Boscolo Hotel,☆☆☆☆☆,Stazione Termini,06 48938090,congress.luxury@boscolo.com,http://exedra-roma.boscolohotels.com,
Hotel Lunetta,☆☆☆☆,PIAZZA DEL PARADISO 68,06 68395056, info@hotellunetta.com,http://www.hotel-centre-rome.com,
Mozart Hotel & Suites,☆☆☆☆,"Via dei Greci, 23/B",06 36001915,info@hotelmozart.com,http://www.hotelmozart.com/,
Hotel Fiume,☆☆☆☆,"Via Brescia, 5 - 00198",10.40.00,---,http://www.hotelfiume-roma.com/,
Hotel Koru,☆☆☆☆,Via Cavour 185 - 00184,696860096, info@koruhotel.it,http://www.koruhotel.it/it/index.php,
Hotel Britannia,☆☆☆☆,"Via Napoli,64, 00184",06 4883153,info@hotelbritannia.it,http://www.hotelbritannia.it/it/,
Hotel Hiberia,☆☆☆,"Via XXIV Maggio, 8 ",06 6787560,info@hotelhiberia.it,,
Hotel Sant Angelo,☆☆☆,"Via Marianna Dionigi 16, 00193",06.32.42.000 ,info@hotelsa.it  ,http://www.hotelsa.it/,
Hotel Alexandra,☆☆☆,Via Vittorio Veneto 18 ,64881943,info@hotelalexandraroma.com  ,http://www.hotelalexandraroma.com/,
Hotel Adriano,☆☆☆," Via di Pallacorda n°2,",06.68.80.24.51, info@hoteladriano.com,http://www.hoteladriano.com/,
Hotel de Monti,☆☆,"Via Panisperna, 95",06 4814763,info@hoteldemonti.com,http://www.hoteldemonti.com/it/,
Hotel Corallo,☆☆,"Via Palestro, 44",06 4456340,"info@hotelcorallo-roma.com
",http://www.hotelcorallo-roma.com/,
Hotel Panda,☆☆,"Via della Croce, 35",66780179, info@hotelpanda.it,http://www.hotelpanda.it/,
Hotel Marcantonio,☆☆,"Via Cavour 47, 00184",---,---,http://www.hotelmarcantoniorome.com,
Hotel Euro Quiris,☆,"via Dei Mille,64",06 491279,info@euroquirishotel.com,http://www.euroquirishotel.com,
Hotel Versailles,☆,Corso D'Italia 92 - 00198 ,06 8552924,info@hotel-versailles-roma.com  ,http://www.hotel-versailles-roma.com/,
,,,,,,
,,,,,,
ZONA: TORINO,,,,,,
NOME HOTEL,CATEGORIA,INDIRIZZO,Tel,,Web,
Principe di Piemonte,☆☆☆☆☆,"Via Piero Gobetti, 15 - 10123",02 895261,booking@atahotels.it,http://www.atahotels.it/principi-di-piemonte,
NH Lingotto Tech,☆☆☆☆☆,"Via Nizza, 230. 10126",011 6642000,nhlingottotech@nh-hotels.com,http://www.nh-hotels.it/nh/it/hotels/italia/torino/nh-lingotto-tech.html,
Golden Palace,☆☆☆☆☆,Via dell’Arcivescovado 18 10121,011 55 12 111, info@goldenpalace.it,http://www.goldenpalace.it/contactus-it.html,
,,,,,,
Town House 70 Suite Hotel,☆☆☆☆L,"Via XX Settembre 70, 10122",011 19700003,"townhouse70@townhouse.it
",http://www.townhouse.it/th70/it,
Hotel Diplomatic,☆☆☆☆,"Via Cernaia, 42, 10122", 011 561.24.44,info@hotel-diplomatic.it  ,http://www.hotel-diplomatic.it/,
Stars Hotels Majestic,☆☆☆☆,"Corso Vittorio Emanuele II, 54",011 539153,majestic.to@starhotels.it,http://www.starhotels.it/hotels/majestic/it/location.aspx,
Grand Hotel Sitea,☆☆☆☆,"Via Carlo Alberto, 35",011 5170171,info@grandhotelsitea.it,http://www.grandhotelsitea.it,
Hotel Verdina,☆☆☆,"Via Pisa, 69 10088 Volpiano TO",011 9884774,reception@hotelverdina.it,http://www.hotelverdina.it,
Hotel Urbani,☆☆☆,"Via Salluzzo, 7 10125 Torino",011 6699047,info@hotelurbani.it,http://www.hotelurbani.it,
Best Western Hotel Torino,☆☆☆,"Corso Stati Uniti 7, 10128 TO",011 5620777,luxor.to@bestwestern.it,http://www.hoteluxor.it/,
,,,,,,
Hotel La Magnolia,☆☆,"Strada del Fioccaro 35, 10133 TO",011 661 2841,info@hotel-lamagnolia.it,http://www.hotel-lamagnolia.it/,
Hotel Galimberti,☆☆,Via Taggia 67,011 30 45 399,info@hotelgalimberti.it,http://www.hotelgalimberti.it/index_2.php,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ZONA: MILANO,,,,,,
NOME HOTEL,CATEGORIA,INDIRIZZO,Tel,,Web,
"Hotel Principe Di Savoia
",☆☆☆☆☆,"Piazza Della Repubblica 17, Stazione Centrale, 20124 Milano",02 62301,"
reservations@hotelprincipedisavoia.com",http://www.hotelprincipedisavoia.com/hotel-milano,
"Park Hyatt Milano
",☆☆☆☆☆,Via Tommaso Grossi 1 Milan 20121,02 8821 1234,milan.park@hyatt.com,http://www.milan.park.hyatt.com/hyatt/hotels/index.jsp?null,
"Boscolo Exedra Milano
",☆☆☆☆☆,"Corso Matteotti 4-6, Centro Storico, 20121 Milano",02 7767 9611,reservation@boscolo.com,http://milano.boscolohotels.com,
