email,nome_azienda,referente_nome,referente_cognome,stelle,categoria,indirizzo,cap,citta,provincia,regione,telefono,sito
una.poggiodeimedici@unahotels.it,Una Poggio Dei Medici,UNA POGGIO DEI MEDICI RESORT,,,Alberghi,Via San Gavino 27,50038,SCARPERIA,FI,Toscana,05584350,
info@hotelcisterna.it,Albergo Ristorante La Cisterna Srl,Hotel Cistern,,,Alberghi,Piazza della Cisterna 23-24,53037,SAN GIMIGNANO,SI,Toscana,0577940328,http://www.hotelcisterna.it/
info@davincihotel.it,Hotel Da Vinci,,,,Alberghi,Viale Bicchierai 31,51016,MONTECATINI TERME,PT,Toscana,057270378,
management@lesorgentiph.it,Park Hotel Le Sorgenti,,,,Alberghi,Via Matteotti 198,51018,PIEVE A NIEVOLE,PT,Toscana,,
nuovo.excelsior@virgilio.it,Nuovo Excelsior,,,,Alberghi,Viale Felice Cavallotti 115,51016,MONTECATINI TERME,PT,Toscana,057270138,
info@bi-hotel.it,Bi,Bi Hotel,,,Alberghi,Lungomare Andrea Doria 30,58018,MONTE ARGENTARIO - PORTO ERCOLE,GR,Toscana,05644833055,http://www.bi-hotel.it/
info@hotel-europa.it,Hotel Europa,,,,Alberghi,Via Senese 293,53036,POGGIBONSI,SI,Toscana,0577933402,
excelsiorflorence@westin.com,The Westin Excelsior Florence,,,,Alberghi,Piazza Ognissanti 3,50123,Firenze,FI,Toscana,055264201,
info@sanfranciscoviareggio.it,San Francisco,Hotel San Francisco,,,Alberghi,Viale Carducci 68,55049,VIAREGGIO,LU,Toscana,058452666,http://www.sanfranciscoviareggio.it/
info@hotelross.it,Hotel Ross,,,,Alberghi,Via Buonarroti 81,55094,Viareggio,LU,Toscana,0584962454,
info@regina-hotel.it,Du Park Et Regina,Hotel Regina Srl,,4,Alberghi,Viale Armando Diaz 8,51016,MONTECATINI TERME,PT,Toscana,057279232,http://www.regina-hotel.it/
info@villadomizia.it,Villa Domizia,Hotel Villa Domizia,,,Alberghi,Strada Statale 440 Orbetellana 38,58019,MONTE ARGENTARIO - PORTO SANTO STEFANO,GR,Toscana,0564812735,http://www.villadomizia.it/
info@vittoriaalbergo.com,Hotel Vittoria,Albergo Vittoria,,,Alberghi,Via Paolina Bonaparte 240,55073,VIAREGGIO,LU,Toscana,058448526,http://www.vittoriaalbergo.com/
info@casalandi.com,Casa Landi,,,,Alberghi,Via S. Martino 26,53011,Castellina In Chianti,SI,Toscana,0577740902,
info@welcometoelba.it,Montemerlo,,,,Alberghi,Frazione Fetovaia,57034,CAMPO NELL'ELBA - FETOVAIA,LI,Toscana,0565988051,
parcoerosa@parcoerosa.it,Parco Erosa,Hotel Parco Erosa,,,Alberghi,Via Remedi 108,53021,ABBADIA SAN SALVATORE,SI,Toscana,0577776326,http://www.parcoerosa.it/
info@albergotirolo.it,Hotel Tirolo,Albergo Tirolo,,,Alberghi,Via Brennero 300,51021,Abetone,PT,Toscana,057360334,http://www.albergotirolo.it/
info@hotelcorano.it,Hotel Corano,,,,Alberghi,Località corano,58017,Pitigliano,GR,Toscana,0564616112,
info@residenzadelgranduca.it,La Residenza Del Granduca,,,,Alberghi,Via Cesare Battisti 1297,51015,Monsummano Terme,PT,Toscana,0572 950057,
info@piccolohotelsanvalentino.com,Piccolo Hotel San Valentino,Piccolo Hotel San Valentino,,,Alberghi,Strada Provinciale 451,53041,Asciano,SI,Toscana,0577707153,http://www.piccolohotelsanvalentino.com/
hoteltirrena@elbalink.it,Tirrena,,,,Alberghi,Località schiopparello,57037,Portoferraio,LI,Toscana,0565933002,
info@hotelmaremonti.com,Maremonti,Hotel Villa Maremonti,,,Alberghi,Via Lungomare di Levante 51,54100,MASSA - RONCHI,MS,Toscana,0585241008,https://hotelmaremonti.com/
info@hotelcity.net,Hotel City,Hotel City,,,Alberghi,Via Sant'Antonino 18,50100,FIRENZE,FI,Toscana,055211543,http://www.hotelcity.net/
info@albergofalterona.it,Hotel Falterona,,,,Alberghi,Piazza Tanucci 85,52017,Stia,AR,Toscana,0575504569,
info@hotelsylvia.it,Sylvia,Hotel Sylvia,,,Alberghi,Via Manfredi 15,55041,CAMAIORE - LIDO DI CAMAIORE,LU,Toscana,0584617994,https://www.hotelsylvia.it/
info@bbfourooms.com,B&b Four Rooms,,,,Alberghi,Borgo Ss Apostoli 2,50142,Firenze,FI,Toscana,055212676,
olimpiaflori@virgilio.it,Olimpia,,,,Alberghi,Via Trieste 30,53021,ABBADIA SAN SALVATORE,SI,Toscana,0577778250,
palazzodellaspiaggia@tiscali.it,Hotel Palazzo Della Spiaggia,,,,Alberghi,Via Libertà 2,55044,Marina di Pietrasanta,LU,Toscana,0584745909,
enoteca@relaischateaux.com,Restaurant Enoteca Pinchiorri,,,,Alberghi,Via Ghibellina 87,50122,Firenze,FI,Toscana,055244983,
reservation@sheratonfirenze.it,Sheraton Firenze Hotel & Conference Center,,,,Alberghi,Via G. Agnelli 33,50142,Firenze,FI,Toscana,05564901,
ilglicine@tin.it,Locanda Del Glicine,,,,Alberghi,Piazza Garibaldi 6/7/8,58042,CAMPAGNATICO,GR,Toscana,0564996490,
info@villadeigerani.it,Villa Dei Gerani,,,,Alberghi,Viale Trieste 51,57013,ROSIGNANO MARITTIMO - ROSIGNANO SOLVAY,LI,Toscana,0586019058,
allalocandadimorgana@alice.it,Hotel Alla Locanda di Morgana,,,,Alberghi,Via Case Alte 1478,51028,San Marcello Pistoiese,PT,Toscana,057364387,
info@sanmarcosiena.it,Hotel San Marco,HOTEL SAN MARCO,,,Alberghi,Via Massetana 70,53100,SIENA,SI,Toscana,0577271556,
lepiazze@chiantinet.it,Hotel Locanda Le Piazze,,,,Alberghi,Frazione Le Piazze,53011,Castellina In Chianti,SI,Toscana,,
sanremo@cosmos.it,Sanremo,,,,Alberghi,L.no Serristori 13,50100,Firenze,FI,Toscana,0552342823,
info@hotelaprile.it,Aprile,,,,Alberghi,Via della Scala 6,50123,FIRENZE,FI,Toscana,055216237,
laforestahotel@hotmail.com,Hotel La Foresta,,,,Alberghi,Via Roma 27,52017,Stia,AR,Toscana,0575504650,
leduefontane@dada.it,Hotel Le Due Fontane,,,,Alberghi,Piazza S. Annunziata 14,50122,Firenze,FI,Toscana,,
hotel.selva@tiscali.it,Hotel Ristorante La Selva,,,,Alberghi,Via Fornaci 32,57020,Sassetta,LI,Toscana,0565794239,
psube@tin.it,Hotel Bodoni,,,,Alberghi,Via Martiri Del Popolo 27,50100,Firenze,FI,Toscana,055240741,
panoramic@galliganihotels.it,Panoramic,,,,Alberghi,Viale Bustichini 65,51016,Montecatini Terme,PT,Toscana,057278381,
albergopetrucci@tiscalinet.it,Petrucci,,,,Alberghi,Via del Sestaione 39,51024,CUTIGLIANO - PIAN DEGLI ONTANI,PT,Toscana,0573673021,
lagoverde@rphotels.com,Lago Verde,,,,Alberghi,Via Castellani 4,51030,SERRAVALLE PISTOIESE,PT,Toscana,0573518262,
tufihotel@tufihotel.it,Hotel Ai Tufi,,,,Alberghi,Strada Massetana Romana 68,53100,Siena,SI,Toscana,0577283292,
info@villagaia.it,Villa Gaia,,,,Alberghi,Via Mura Pietro Grocco 11,51016,MONTECATINI TERME - MONTECATINI ALTO,PT,Toscana,0572770738,
info@albergolapacepontedera.it,Albergo La Pace,Hotel Peace,,,Alberghi,Via Belfiore 4,56025,PONTEDERA,PI,Toscana,058752339,http://www.albergolapacepontedera.it/
info@mistralhotel.it,Mistral,,,,Alberghi,Via per Portoferraio 85,57034,CAMPO NELL'ELBA - MARINA DI CAMPO,LI,Toscana,0565979150,
info@larosahotel.it,La Rosa,,,,Alberghi,Località San Piero,57034,Campo Nell'elba,LI,Toscana,0565983191,
info@la-fattoria.it,La Fattoria,,,,Alberghi,Località Paccianese 48,53043,Chiusi,SI,Toscana,057821407,
htroma@tiscalinet.it,Hotel Roma,,,,Alberghi,Via S. Francesco 43,57025,Piombino,LI,Toscana,056534341,
info@hotelmariotti.191.it,Mariotti,,,,Alberghi,Viale Colombo 147,55041,CAMAIORE - LIDO DI CAMAIORE,LU,Toscana,0584617170,
info@hoteltuscanyinn.com,Hotel Tuscany Inn,Hotel Tuscany Inn Montecatini Terme,,,Alberghi,Via Cividale 86,51016,Montecatini Terme,PT,Toscana,057270302,http://www.hoteltuscanyinn.com/
info@capitolchianciano.it,Grand Hotel Capitol Garibaldi,G Hotel Capitol,,4,Alberghi,Viale della Libertà 492,53042,CHIANCIANO TERME,SI,Toscana,057864681,http://www.capitolchianciano.it/
select@elbalink.it,Select,,,,Alberghi,Via Per Portoferraio,57034,Campo Nell'elba,LI,Toscana,05659730,
caldana@dada.it,Teti & Prestige,,,,Alberghi,Via Porta Rossa 5,50100,Firenze,FI,Toscana,0552398435,
info@exclusivecarrara.com,Hotel Exclusive,Hotel Exclusive,,,Alberghi,Viale Colombo 59,54033,Carrara,MS,Toscana,0585789263,http://www.exclusivecarrara.com/
info@fabianihotels.com,Miramonti,Hotel Miramonti,,,Alberghi,Viale Marconi 44,51016,MONTECATINI TERME,PT,Toscana,+39 0572 70647,http://www.fabianihotels.com/
info@hotelmediterraneo-chiancianoterme.it,Mediterraneo,,,,Alberghi,Viale Baccelli 22,53042,CHIANCIANO TERME,SI,Toscana,057864256,
info@tufihotel.it,Ai Tufi,,,,Alberghi,Via Massetana Romana 68,53100,Siena,SI,Toscana,0577 283292,
hotelduetorri@elbalink.it,Due Torri,,,,Alberghi,Via Xxv Aprile 3,57036,Porto Azzurro,LI,Toscana,056595132,
info@hotelpalazzuolo.com,Hotel Palazzuolo,Hotel Palazzuolo Florence,,,Alberghi,Via Palazzuolo 71,50123,Firenze,FI,Toscana,055214611,http://www.hotelpalazzuolo.com/
info@ambra-hotel.it,Hotel Ambra di Somma & C. Sas,Hotel Ambra,,,Alberghi,Via Polo 20,55042,Forte Dei Marmi,LU,Toscana,0584787285,http://www.hotelambrafortedeimarmi.it/
info@casacares.it,Casa Cares,,,,Alberghi,Via Pietrapiana 56,50066,Reggello,FI,Toscana,0558652001,
info@grupposelci.it,Selci Wellness Hotels - Marina di Campo - Elba,,,,Alberghi,Viale Degli Etruschi 567,57034,Marina di Campo,LI,Toscana,0565976336,
info@hotelvillarona.com,Villa Rona,,,,Alberghi,Via Crispi 11,55042,FORTE DEI MARMI,LU,Toscana,0584787222,
info@albergobattelli.it,Battelli,Albergo Battelli,,,Alberghi,Viale Versilia 189-Località Motrone,55045,PIETRASANTA - MARINA DI PIETRASANTA,LU,Toscana,058420010,http://www.albergobattelli.it/
welcome@hotelnella.net,Hotel Nella,,,,Alberghi,Via Faenza 69,50123,Firenze,FI,Toscana,0552654346,
info@hotelifiorino.it,I'fiorino Sas di Elio Giuntini & C.,Hotel Ifiorino,,,Alberghi,Via Allende 101,50056,Capraia e Limite,FI,Toscana,0571583505,http://www.hotelifiorino.it/
info@ariannahotel.eu,Arianna,,,,Alberghi,Viale Roma 47,55045,Marina di Pietrasanta,LU,Toscana,0584745878,
info@domusflorentiahotel.com,Domus Florentiae Hotel,Hotel Domus Florentiae,,,Alberghi,Via degli Avelli 2,50123,FIRENZE,FI,Toscana,0552654645,http://www.domusflorentiahotel.com/
vacanze@kontiki.toscana.it,Kon Tiki,,,,Alberghi,Via Umbria 2,57027,SAN VINCENZO,LI,Toscana,0565705014,
info@piccolomondohotel.it,Piccolo Mondo,Piccolo Mondo,,,Alberghi,Piazza Guerrazzi 2,58022,FOLLONICA,GR,Toscana,056640361,http://www.piccolomondohotel.it/
info@hotelorcagnafirenze.it,Orcagna,Hotel Orcagna,,,Alberghi,Via Orcagna 57,50142,Firenze,FI,Toscana,055669959,http://www.hotelorcagnafirenze.it/
info@hoteleuroclub.it,Hotel Euro Club,,,,Alberghi,Via Cassia Nord 33,53011,Castellina In Chianti Stazione,SI,Toscana,05773050002,
info@villaggiosolidago.it,Villaggio Solidago,,,,Alberghi,Viale Del Tirreno 86/a,56128,Pisa,PI,Toscana,050 38900,
info@arizonahotel.it,Hotel Arizona Sas di Sandra Grazzini,,,,Alberghi,Via L.C. Farini 2,50121,FIRENZE,FI,Toscana,055245321,
albergo_vittoria@virgilio.it,Vittoria,,,,Alberghi,Via J. Carrucci 105,50053,Empoli,FI,Toscana,057173201,
info@hotelboston.it,Boston,Hotel Boston,,4,Alberghi,Viale Bicchierai 16,51016,MONTECATINI TERME,PT,Toscana,057270379,https://www.hotelboston.it/?utm_source=google
info@locandalevolte.com,Locanda Le Volte,Locanda Le Volte,,,Alberghi,Via Roma 61,56040,Casale Marittimo,PI,Toscana,+39 0586 652018,http://www.locandalevolte.com/
info@locandailcastagno.it,Hotel Locanda Il Castagno,,,,Alberghi,Via Giovanni Pascoli 17,55030,GIUNCUGNANO,LU,Toscana,0583615025,
pensionegransasso@libero.it,Gran Sasso,,,,Alberghi,Via G. M. Terreni 51,57128,Livorno,LI,Toscana,0586 406092,
info@hotellerenaie.it,Hotel Le Renaie,,,,Alberghi,Via Pancole 10/b,53037,San Gimignano,SI,Toscana,,
info@sienaholidays.com,L'aia Residence & Soggiorno Lo Stellino,L'AIA COUNTRY HOLIDAYS,,,Alberghi,Via Fiorentina 95,53100,Siena,SI,Toscana,057751987,
hotel.lombardi@dada.it,Hotel Lombardi,,,2,Alberghi,Via Fiume 8,50123,Firenze,FI,Toscana,21.07.00,http://www.hotellombardi.com/
hotelcalifornia@inwind.it,California,,,,Alberghi,Via Ricasoli 30,50122,FIRENZE,FI,Toscana,055282753,
info@hotelpierodellafrancesca.it,Piero Della Francesca,Hotel Piero Della Francesca And Ristorante Pizzeria 129,,,Alberghi,Via Adigrat 1,52100,AREZZO,AR,Toscana,0575908464,http://www.hotelpierodellafrancesca.it/
info@hotelfloridatirrenia.com,Hotel Florida,Hotel Florida Tirrenia,,,Alberghi,Viale Del Tirreno 227,56128,Pisa,PI,Toscana,050 37236,http://www.hotelfloridatirrenia.com/
info@zucconihotel.it,Hotel Zucconi,,,,Alberghi,Via Gioberti 8,51016,Montecatini Terme,PT,Toscana,057278819,
info@villacampomaggio.it,Hotel Villacampomaggio,VILLA CAMPOMAGGIO,,,Alberghi,Località Campomaggio 72,53017,Radda In Chianti,SI,Toscana,0577738981,
byron@gruppobirindelli.it,Byron,,,,Alberghi,Viale Bicchierai 68,51016,MONTECATINI TERME,PT,Toscana,057270122,
info@albergolevante.it,Hotel Levante,,,,Alberghi,Via Pirandello 32,53042,Chianciano Terme,SI,Toscana,057863794,
info@hoteltorretta.it,Torretta,Hotel Torretta,,4,Alberghi,Viale Bustichini 63,51016,MONTECATINI TERME,PT,Toscana,057270305,https://www.hoteltorretta.it/
info@villacorliano.it,Grand Hotel Villa di Corliano,,,,Alberghi,Strada Statale Abetone - Rigoli 50,56100,Pisa,PI,Toscana,050818193,
hotelsextum@alice.it,Sextum Hotel,,,,Alberghi,Via Jacopo Del Polta 51,56031,Bientina,PI,Toscana,0587755822,
info@sangallopalace.it,San Gallo Palace,,,,Alberghi,Via L. Il Magnifico 2,50129,Firenze,FI,Toscana,0554627313,
info@lacortedeipapi.com,Relais La Corte Dei Papi,Relais La Corte Dei Papi,,,Alberghi,Via La Dogana 12,52044,Cortona,AR,Toscana,0575614109,http://www.lacortedeipapi.com/
info@hotel-lapergola.it,La Pergola,,,,Alberghi,Via Antonio del Pollaiolo 16,50142,FIRENZE,FI,Toscana,055700896,
booking@parkhotelnapoleone.it,Park Hotel Napoleone,,,,Alberghi,Località San Martino,57037,Portoferraio,LI,Toscana,0565911111,
admiral@albanesihotels.com,Grand Hotel Admiral Palace,,,,Alberghi,Viale Umbria 2,53042,Chianciano Terme,SI,Toscana,057863297,
info@hotelnapoleon.net,Napoleon,,,,Alberghi,Piazza Italia 2/B,54027,PONTREMOLI,MS,Toscana,0187830544,
info@hoteladlercavalieri.com,Adler Cavalieri,HOTEL ADLER CAVALIERI,,,Alberghi,Via della Scala 40,50123,FIRENZE,FI,Toscana,055277810,
bristolhotel@tiscalinet.it,Bristol,,,,Alberghi,Viale Manin 14,55049,VIAREGGIO,LU,Toscana,058446441,
info@hotelexecutive.it,Executive,HOTEL EXECUTIVE,,,Alberghi,Via Curtatone 5,50123,FIRENZE,FI,Toscana,055217451,
info@hoteldelfinomarinadicarrara.com,Hotel Residence Delfino,Hotel Delfino,,,Alberghi,Viale Colombo 68,54033,Marina di Carrara,MS,Toscana,+39 0585 788423,http://www.hoteldelfinomarinadicarrara.com/
booking@hotel-balestri.it,Balestri,,,,Alberghi,Piazza Mentana 7,50142,Firenze,FI,Toscana,055214743,
info@villaggioilgirasole.it,Villaggio Villaggio Il Girasole,Village Girasole,,,Alberghi,Viale Italia 340,58022,Follonica,GR,Toscana,0566261411,https://www.villaggioilgirasole.it/?utm_source=GoogleMyBusiness
lamassa@relaischateaux.com,Villa La Massa,,,,Alberghi,Via Della Massa 24,50012,Candeli,FI,Toscana,055633102,
hotelindicatore@tiscali.it,Indicatore,,,,Alberghi,Via Xiii Martiri 282,50013,Campi Bisenzio,FI,Toscana,0558999433,
albergoilpalazzetto@libero.it,Hotel Il Palazzetto,,,,Alberghi,,53012,Chiusdino,SI,Toscana,0577751160,
albergoverdeluna@aim.com,Verde Luna,,,,Alberghi,Via Banti 1,58016,Orbetello,GR,Toscana,0564867495,
anforahotel@tiscalinet.it,Hotel Anfora di Di Biagio M. e C. Snc,,,,Alberghi,Località Naregno,57031,Capoliveri,LI,Toscana,0565968573,
info@hotellory.net,Lory,Hotel Lory And My Wellness Spa,,,Alberghi,Via G. di Vittorio 286,53042,Chianciano Terme,SI,Toscana,057863704,http://www.hotellory.net/
info@hoteldaisy.it,Hotel Daisy,Hotel Daisy,,,Alberghi,Via Verona 12,54100,MASSA - MARINA DI MASSA,MS,Toscana,0585240108,http://www.hoteldaisy.it/
info@castellodelnero.com,Hotel Castello Del Nero,CASTELLO DEL NERO HOTEL&SPA,,5,Alberghi,Strada Spicciano 7,50028,TAVARNELLE VAL DI PESA,FI,Toscana,0558076551,http://www.castellodelnero.com/
euro@myonehotel.it,My One Hotel Euro,,,,Alberghi,Viale Europa 6,56012,Cascina,PI,Toscana,050710494,
info@hotelriomarina.it,Rio,,,,Alberghi,Via Palestro 34,57038,Rio Marina,LI,Toscana,0565924225,
mediterraneo@taddeihotels.it,Mediterraneo,,,,Alberghi,Via Baragiola 1,51016,MONTECATINI TERME,PT,Toscana,057271321,
info@villareggia.com,Hotel Villa La Reggia,,,,Alberghi,Località Biagioni 64,55011,Altopascio,LU,Toscana,0583202162,
info@hotelstclaire.com,Residence Saint Claire,,,,Alberghi,Via Aldo Moro,57033,Marciana Marina,LI,Toscana,056599100,
info@hoteldannunzio.com,Palazzo Ognissanti,,,4,Alberghi,Via Gabriele d'Annunzio 141/A/B,50135,FIRENZE,FI,Toscana,0556121302,http://dannunziohotel.it/
reservation.ghc@royaldemeure.com,G.h. Continental,,,,Alberghi,Via Banchi di Sopra 85,53100,SIENA,SI,Toscana,057756011,
info@frankshotel.com,Hotel Frank's,Hotel Franks,,,Alberghi,Località Naregno,57031,CAPOLIVERI,LI,Toscana,0565968144,http://www.frankshotel.com/
info@parkingiardinohotel.it,Albergo Giardino,,,,Alberghi,Piazza Mazzini 85,57126,Livorno,LI,Toscana,0586806330,
info@cortonastorica.com,Hotel Sabrina,B And B Dolce Maria,,,Alberghi,Via Roma 37,52044,Cortona,AR,Toscana,0575601577,http://www.cortonastorica.com/cortona-toscana/
hotel-edy@libero.it,Hotel Edy,,,,Alberghi,Piazza Indipendenza 5,53042,CHIANCIANO TERME,SI,Toscana,057863327,
info@hotelilaria.com,Hotel Ilaria Srl,Hotel Ilaria And Residenza Dellalba,,,Alberghi,Via del Fosso 26,55100,LUCCA,LU,Toscana,058347615,https://www.hotelilaria.com/
info@hotelcastelmartini.it,Hotel Castelmartini,Hotel Castelmartini,,,Alberghi,Via Dalla Chiesa,51036,Larciano,PT,Toscana,0573849034,http://www.hotelcastelmartini.it/
cristallo@elbalink.it,Cristallo,,,,Alberghi,Piazza Giacomo Matteotti 1,57030,RIO MARINA - CAVO,LI,Toscana,0565949898,
