Categoria,Ragione Sociale,Indirizzo,CAP,Città,Prov,Regione,Telefono,Fax,E-mail
Alberghi,Hotel Carlo's,Località S. Giusto 266,57022,Castagneto Carducci,LI,Toscana,0565765190,0565763242,info@hotelcarlos.it
Alberghi,Hotel Il Giardino Srl,Piazza Daniele Manin 1,56122,Pisa,PI,Toscana,0508312286,,info@hotelilgiardino.pisa.it
Alberghi,Hotel Il Negresco,Lungomare Italico 82,55042,Forte Dei Marmi,LU,Toscana,058478820,0584787535,info@hotelilnegresco.com
Alberghi,Hotel I Tre Baroni,Via di Camaldoli 52,52010,Poppi,AR,Toscana,0575556204,0575556204,info@itrebaroni.it
Alberghi,Una Poggio Dei Medici,Via San Gavino 27,50038,Scarperia,FI,Toscana,05584350,0558430439,una.poggiodeimedici@unahotels.it
Alberghi,Albergo Ristorante La Cisterna Srl,Piazza Cisterna 24,53037,San Gimignano,SI,Toscana,0577940328,0577942080,info@hotelcisterna.it
Alberghi,Hotel Da Vinci,Viale Bicchierai 31,51016,Montecatini Terme,PT,Toscana,057270378,0572770208,info@davincihotel.it
Alberghi,Park Hotel Le Sorgenti,Corso Giacomo Matteotti 198,51018,Pieve A Nievole,PT,Toscana,,,management@lesorgentiph.it
Alberghi,Nuovo Excelsior,Via Cavallotti 115,51016,Montecatini Terme,PT,Toscana,057270138,057270138,nuovo.excelsior@virgilio.it
Alberghi,Bi,Lungomare Andrea Doria 30,58018,Porto Ercole,GR,Toscana,05644833055,05644836057,info@bi-hotel.it
Alberghi,Hotel Europa,Via Senese 293,53036,Poggibonsi,SI,Toscana,0577933402,0577936069,info@hotel-europa.it
Alberghi,The Westin Excelsior Florence,Piazza Ognissanti 3,50123,Firenze,FI,Toscana,055264201,055210278,excelsiorflorence@westin.com
Alberghi,San Francisco,Viale Carducci 68,55049,Viareggio,LU,Toscana,058452666,,info@sanfranciscoviareggio.it
Alberghi,Hotel Ross,Via Buonarroti 81,55094,Viareggio,LU,Toscana,0584962454,0584962454,info@hotelross.it
Alberghi,Du Park Et Regina,Viale A. Diaz 8,51016,Montecatini Terme,PT,Toscana,057279232,057279234,info@regina-hotel.it
Alberghi,Villa Domizia,Località S.liberata,58019,Monte Argentario,GR,Toscana,0564812735,,info@villadomizia.it
Alberghi,Hotel Vittoria,Via Paolina 240,55073,Viareggio,LU,Toscana,058448526,0584430260,info@vittoriaalbergo.com
Alberghi,Casa Landi,Via S. Martino 26,53011,Castellina In Chianti,SI,Toscana,0577740902,0555609202,info@casalandi.com
Alberghi,Montemerlo,Località Fetovaia,57034,Campo Nell'elba,LI,Toscana,0565988051,,info@welcometoelba.it
Alberghi,Parco Erosa,Via Remedi 108,53021,Abbadia San Salvatore,SI,Toscana,0577776326,,parcoerosa@parcoerosa.it
Alberghi,Hotel Tirolo,Via Brennero 300,51021,Abetone,PT,Toscana,057360334,057360334,info@albergotirolo.it
Alberghi,Hotel Corano,Località corano,58017,Pitigliano,GR,Toscana,0564616112,0564614191,info@hotelcorano.it
Alberghi,La Residenza Del Granduca,Via Cesare Battisti 1297,51015,Monsummano Terme,PT,Toscana,0572 950057,0572950057,info@residenzadelgranduca.it
Alberghi,Piccolo Hotel San Valentino,Strada Provinciale 451,53041,Asciano,SI,Toscana,0577707153,0577707260,info@piccolohotelsanvalentino.com
Alberghi,Tirrena,Località schiopparello,57037,Portoferraio,LI,Toscana,0565933002,,hoteltirrena@elbalink.it
Alberghi,Maremonti,Lungomare Levante 51,54100,Massa,MS,Toscana,0585241008,,info@hotelmaremonti.com
Alberghi,Hotel City,Via Sant'antonino 18,50100,Firenze,FI,Toscana,055211543,055295451,info@hotelcity.net
Alberghi,Hotel Falterona,Piazza Tanucci 85,52017,Stia,AR,Toscana,0575504569,0575504982,info@albergofalterona.it
Alberghi,Sylvia,Via Manfredi 15,55041,Lido di Camaiore,LU,Toscana,0584617994,,info@hotelsylvia.it
Alberghi,B&b Four Rooms,Borgo Ss Apostoli 2,50142,Firenze,FI,Toscana,055212676,055212676,info@bbfourooms.com
Alberghi,Olimpia,Via Trieste 30,53021,Abbadia San Salvatore,SI,Toscana,0577778250,,olimpiaflori@virgilio.it
Alberghi,Hotel Palazzo Della Spiaggia,Via Libertà 2,55044,Marina di Pietrasanta,LU,Toscana,0584745909,,palazzodellaspiaggia@tiscali.it
Alberghi,Restaurant Enoteca Pinchiorri,Via Ghibellina 87,50122,Firenze,FI,Toscana,055244983,055242777,enoteca@relaischateaux.com
Alberghi,Sheraton Firenze Hotel & Conference Center,Via G. Agnelli 33,50142,Firenze,FI,Toscana,05564901,055680747,reservation@sheratonfirenze.it
Alberghi,Locanda Del Glicine,P. Giuseppe Garibaldi 6/7/8,58042,Campagnatico,GR,Toscana,0564996490,0564996916,ilglicine@tin.it
Alberghi,Villa Dei Gerani,Viale Trieste 51,57013,Rosignano Solvay,LI,Toscana,0586019058,0586019058,info@villadeigerani.it
Alberghi,Hotel Alla Locanda di Morgana,Via Case Alte 1478,51028,San Marcello Pistoiese,PT,Toscana,057364387,057364387,allalocandadimorgana@alice.it
Alberghi,Hotel San Marco,Strada massetana,53100,Siena,SI,Toscana,0577271556,0577271826,info@sanmarcosiena.it
Alberghi,Hotel Locanda Le Piazze,Frazione Le Piazze,53011,Castellina In Chianti,SI,Toscana,,,lepiazze@chiantinet.it
Alberghi,Sanremo,L.no Serristori 13,50100,Firenze,FI,Toscana,0552342823,0552342269,sanremo@cosmos.it
Alberghi,Aprile,Via Scala 6,50123,Firenze,FI,Toscana,055216237,,info@hotelaprile.it
Alberghi,Hotel La Foresta,Via Roma 27,52017,Stia,AR,Toscana,0575504650,0575583547,laforestahotel@hotmail.com
Alberghi,Hotel Le Due Fontane,Piazza S. Annunziata 14,50122,Firenze,FI,Toscana,,,leduefontane@dada.it
Alberghi,Hotel Ristorante La Selva,Via Fornaci 32,57020,Sassetta,LI,Toscana,0565794239,0565794777,hotel.selva@tiscali.it
Alberghi,Hotel Bodoni,Via Martiri Del Popolo 27,50100,Firenze,FI,Toscana,055240741,055244432,psube@tin.it
Alberghi,Panoramic,Viale Bustichini 65,51016,Montecatini Terme,PT,Toscana,057278381,057278598,panoramic@galliganihotels.it
Alberghi,Petrucci,Via Del Sestaione 39,51024,Cutigliano,PT,Toscana,0573673021,,albergopetrucci@tiscalinet.it
Alberghi,Lago Verde,Via Castellani 4,51030,Serravalle Pistoiese,PT,Toscana,0573518262,0573518227,lagoverde@rphotels.com
Alberghi,Hotel Ai Tufi,Strada Massetana Romana 68,53100,Siena,SI,Toscana,0577283292,0577284076,tufihotel@tufihotel.it
Alberghi,Villa Gaia,Mura Pietro Grocco 11,51016,Montecatini Terme,PT,Toscana,0572770738,,info@villagaia.it
Alberghi,Albergo La Pace,Via Belfiore 4,56025,Pontedera,PI,Toscana,058752339,058752414,info@albergolapacepontedera.it
Alberghi,Mistral,Via Per Portoferraio 85,57034,Campo Nell'elba,LI,Toscana,0565979150,,info@mistralhotel.it
Alberghi,La Rosa,Località San Piero,57034,Campo Nell'elba,LI,Toscana,0565983191,,info@larosahotel.it
Alberghi,La Fattoria,Località Paccianese 48,53043,Chiusi,SI,Toscana,057821407,057820644,info@la-fattoria.it
Alberghi,Hotel Roma,Via S. Francesco 43,57025,Piombino,LI,Toscana,056534341,056534341,htroma@tiscalinet.it
Alberghi,Mariotti,Viale Colombo 147,55041,Lido di Camaiore,LU,Toscana,0584617170,,info@hotelmariotti.191.it
Alberghi,Hotel Tuscany Inn,Via Cividale 86,51016,Montecatini Terme,PT,Toscana,057270302,0572912648,info@hoteltuscanyinn.com
Alberghi,Grand Hotel Capitol Garibaldi,Viale Della Libertà 492,53042,Chianciano Terme,SI,Toscana,057864681,057864686,info@capitolchianciano.it
Alberghi,Select,Via Per Portoferraio,57034,Campo Nell'elba,LI,Toscana,05659730,,select@elbalink.it
Alberghi,Teti & Prestige,Via Porta Rossa 5,50100,Firenze,FI,Toscana,0552398435,0552398248,caldana@dada.it
Alberghi,Hotel Exclusive,Viale Colombo 59,54033,Carrara,MS,Toscana,0585789263,058555871,info@exclusivecarrara.com
Alberghi,Miramonti,Viale Marconi 44,51016,Montecatini Terme,PT,Toscana,,,info@fabianihotels.com
Alberghi,Mediterraneo,Via Baccelli,53042,Chianciano Terme,SI,Toscana,057864256,057862604,info@hotelmediterraneo-chiancianoterme.it
Alberghi,Ai Tufi,Via Massetana Romana 68,53100,Siena,SI,Toscana,0577 283292,0577 532070,info@tufihotel.it
Alberghi,Due Torri,Via Xxv Aprile 3,57036,Porto Azzurro,LI,Toscana,056595132,,hotelduetorri@elbalink.it
Alberghi,Hotel Palazzuolo,Via Palazzuolo 71,50123,Firenze,FI,Toscana,055214611,055212101,info@hotelpalazzuolo.com
Alberghi,Hotel Ambra di Somma & C. Sas,Via Polo 20,55042,Forte Dei Marmi,LU,Toscana,0584787285,0584787139,info@ambra-hotel.it
Alberghi,Casa Cares,Via Pietrapiana 56,50066,Reggello,FI,Toscana,0558652001,0558652900,info@casacares.it
Alberghi,Selci Wellness Hotels - Marina di Campo - Elba,Viale Degli Etruschi 567,57034,Marina di Campo,LI,Toscana,0565976336,0565977748,info@grupposelci.it
Alberghi,Villa Rona,Via Crispi 10/12,55042,Forte Dei Marmi,LU,Toscana,0584787222,,info@hotelvillarona.com
Alberghi,Battelli,Via Versilia 189,55045,Marina di Pietrasanta,LU,Toscana,058420010,,info@albergobattelli.it
Alberghi,Hotel Nella,Via Faenza 69,50123,Firenze,FI,Toscana,0552654346,0552728362,welcome@hotelnella.net
Alberghi,I'fiorino Sas di Elio Giuntini & C.,Via Allende 101,50056,Capraia e Limite,FI,Toscana,0571583505,0571594032,info@hotelifiorino.it
Alberghi,Arianna,Viale Roma 47,55045,Marina di Pietrasanta,LU,Toscana,0584745878,0584745544,info@ariannahotel.eu
Alberghi,Domus Florentiae Hotel,Via Degli Avelli 2,50123,Firenze,FI,Toscana,0552654645,0552776429,info@domusflorentiahotel.com
Alberghi,Kon Tiki,Via Umbria 2,57027,San Vincenzo,LI,Toscana,0565705014,0565705014,vacanze@kontiki.toscana.it
Alberghi,Piccolo Mondo,Via Carducci 2,58022,Follonica,GR,Toscana,056640361,,info@piccolomondohotel.it
Alberghi,Orcagna,Via Orcagna 57,50142,Firenze,FI,Toscana,055669959,055670500,info@hotelorcagnafirenze.it
Alberghi,Hotel Euro Club,Via Cassia Nord 33,53011,Castellina In Chianti Stazione,SI,Toscana,05773050002,0577305015,info@hoteleuroclub.it
Alberghi,Villaggio Solidago,Viale Del Tirreno 86/a,56128,Pisa,PI,Toscana,050 38900,050 3890007,info@villaggiosolidago.it
Alberghi,Hotel Arizona Sas di Sandra Grazzini,Via Farini 2,50121,Firenze,FI,Toscana,055245321,0552346130,info@arizonahotel.it
Alberghi,Vittoria,Via J. Carrucci 105,50053,Empoli,FI,Toscana,057173201,057173201,albergo_vittoria@virgilio.it
Alberghi,Boston,Viale Bicchierai 20,51016,Montecatini Terme,PT,Toscana,057270379,,info@hotelboston.it
Alberghi,Locanda Le Volte,Via Roma 61,56040,Casale Marittimo,PI,Toscana,,0586652018,info@locandalevolte.com
Alberghi,Hotel Locanda Il Castagno,Via G. Pascoli 17,55030,Giuncugnano,LU,Toscana,0583615025,0583615414,info@locandailcastagno.it
Alberghi,Gran Sasso,Via G. M. Terreni 51,57128,Livorno,LI,Toscana,0586 406092,0586 406092,pensionegransasso@libero.it
Alberghi,Hotel Le Renaie,Via Pancole 10/b,53037,San Gimignano,SI,Toscana,,0577955126,info@hotellerenaie.it
Alberghi,L'aia Residence & Soggiorno Lo Stellino,Via Fiorentina 95,53100,Siena,SI,Toscana,057751987,0577588926,info@sienaholidays.com
Alberghi,Hotel Lombardi,Via Fiume 8,50123,Firenze,FI,Toscana,,,hotel.lombardi@dada.it
Alberghi,California,Via Ricasoli 30,50122,Firenze,FI,Toscana,055282753,,hotelcalifornia@inwind.it
Alberghi,Piero Della Francesca,Via Adigrat 1,52100,Arezzo,AR,Toscana,0575908464,0575940436,info@hotelpierodellafrancesca.it
Alberghi,Hotel Florida,Viale Del Tirreno 227,56128,Pisa,PI,Toscana,050 37236,050 30202,info@hotelfloridatirrenia.com
Alberghi,Hotel Zucconi,Via Gioberti 8,51016,Montecatini Terme,PT,Toscana,057278819,057279421,info@zucconihotel.it
Alberghi,Hotel Villacampomaggio,Località Campomaggio 72,53017,Radda In Chianti,SI,Toscana,0577738981,0577738723,info@villacampomaggio.it
Alberghi,Byron,Via Bicchierai 68,51016,Montecatini Terme,PT,Toscana,057270122,0572767174,byron@gruppobirindelli.it
Alberghi,Hotel Levante,Via Pirandello 32,53042,Chianciano Terme,SI,Toscana,057863794,0578654496,info@albergolevante.it
Alberghi,Torretta,Viale Bustichini 27,51016,Montecatini Terme,PT,Toscana,057270305,,info@hoteltorretta.it
Alberghi,Grand Hotel Villa di Corliano,Strada Statale Abetone - Rigoli 50,56100,Pisa,PI,Toscana,050818193,050818897,info@villacorliano.it
Alberghi,Sextum Hotel,Via Jacopo Del Polta 51,56031,Bientina,PI,Toscana,0587755822,0587754662,hotelsextum@alice.it
Alberghi,San Gallo Palace,Via L. Il Magnifico 2,50129,Firenze,FI,Toscana,0554627313,,info@sangallopalace.it
Alberghi,Relais La Corte Dei Papi,Via La Dogana 12,52044,Cortona,AR,Toscana,0575614109,0575614963,info@lacortedeipapi.com
Alberghi,La Pergola,Via A. Del Pollaiolo 16,50142,Firenze,FI,Toscana,055700896,055700973,info@hotel-lapergola.it
Alberghi,Park Hotel Napoleone,Località San Martino,57037,Portoferraio,LI,Toscana,0565911111,,booking@parkhotelnapoleone.it
Alberghi,Grand Hotel Admiral Palace,Viale Umbria 2,53042,Chianciano Terme,SI,Toscana,057863297,057855421,admiral@albanesihotels.com
Alberghi,Napoleon,Piazza Unità D'italia 2/bis,54027,Pontremoli,MS,Toscana,0187830544,0187831592,info@hotelnapoleon.net
Alberghi,Adler Cavalieri,Via Scala 40,50123,Firenze,FI,Toscana,055277810,,info@hoteladlercavalieri.com
Alberghi,Bristol,Viale Manin 14,55049,Viareggio,LU,Toscana,058446441,,bristolhotel@tiscalinet.it
Alberghi,Executive,Via Curtatone 5,50123,Firenze,FI,Toscana,055217451,055268346,info@hotelexecutive.it
Alberghi,Hotel Residence Delfino,Viale Colombo 68,54033,Marina di Carrara,MS,Toscana,,0585788423,info@hoteldelfinomarinadicarrara.com
Alberghi,Balestri,Piazza Mentana 7,50142,Firenze,FI,Toscana,055214743,0552398042,booking@hotel-balestri.it
Alberghi,Villaggio Villaggio Il Girasole,Viale Italia 340,58022,Follonica,GR,Toscana,0566261411,0566261444,info@villaggioilgirasole.it
Alberghi,Villa La Massa,Via Della Massa 24,50012,Candeli,FI,Toscana,055633102,05562611,lamassa@relaischateaux.com
Alberghi,Indicatore,Via Xiii Martiri 282,50013,Campi Bisenzio,FI,Toscana,0558999433,0558964396,hotelindicatore@tiscali.it
Alberghi,Hotel Il Palazzetto,,53012,Chiusdino,SI,Toscana,0577751160,0577751160,albergoilpalazzetto@libero.it
Alberghi,Verde Luna,Via Banti 1,58016,Orbetello,GR,Toscana,0564867495,0564862378,albergoverdeluna@aim.com
Alberghi,Hotel Anfora di Di Biagio M. e C. Snc,Località Naregno,57031,Capoliveri,LI,Toscana,0565968573,0565935167,anforahotel@tiscalinet.it
Alberghi,Lory,Via G. di Vittorio 286,53042,Chianciano Terme,SI,Toscana,057863704,057861100,info@hotellory.net
Alberghi,Hotel Daisy,Via Verona 12,54100,Massa,MS,Toscana,0585240108,0585240109,info@hoteldaisy.it
Alberghi,Hotel Castello Del Nero,Strada Spicciano 7,50028,Tavarnelle Val di Pesa,FI,Toscana,0558076551,0558077234,info@castellodelnero.com
Alberghi,My One Hotel Euro,Viale Europa 6,56012,Cascina,PI,Toscana,050710494,050710570,euro@myonehotel.it
Alberghi,Rio,Via Palestro 34,57038,Rio Marina,LI,Toscana,0565924225,0565924162,info@hotelriomarina.it
Alberghi,Mediterraneo,Via Baragiola 1,51016,Montecatini Terme,PT,Toscana,057271321,,mediterraneo@taddeihotels.it
Alberghi,Hotel Villa La Reggia,Località Biagioni 64,55011,Altopascio,LU,Toscana,0583202162,0583202041,info@villareggia.com
Alberghi,Residence Saint Claire,Via Aldo Moro,57033,Marciana Marina,LI,Toscana,056599100,0565904073,info@hotelstclaire.com
Alberghi,Palazzo Ognissanti,Via D'annunzio 141,50135,Firenze,FI,Toscana,0556121302,,info@hoteldannunzio.com
Alberghi,G.h. Continental,Via Banchi di Sopra 85,53100,Siena,SI,Toscana,057756011,05775601555,reservation.ghc@royaldemeure.com
Alberghi,Hotel Frank's,Località Naregno,57031,Capoliveri,LI,Toscana,0565968144,0565968405,info@frankshotel.com
Alberghi,Albergo Giardino,Piazza Mazzini 85,57126,Livorno,LI,Toscana,0586806330,0586262994,info@parkingiardinohotel.it
Alberghi,Hotel Sabrina,Via Roma 37,52044,Cortona,AR,Toscana,0575601577,0575604627,info@cortonastorica.com
Alberghi,Hotel Edy,Piazza Indipendenza 5,53042,Chianciano Terme,SI,Toscana,057863327,057862044,hotel-edy@libero.it
Alberghi,Hotel Ilaria Srl,Via Fosso 26,55100,Lucca,LU,Toscana,058347615,0583991961,info@hotelilaria.com
Alberghi,Hotel Castelmartini,Via Dalla Chiesa,51036,Larciano,PT,Toscana,0573849034,057384302,info@hotelcastelmartini.it
Alberghi,Cristallo,Piazza Matteotti 1,57030,Cavo,LI,Toscana,0565949898,,cristallo@elbalink.it
Alberghi,Vittoria,Strada Del Sole 65,58019,Porto Santo Stefano,GR,Toscana,0564818580,0564818055,info@hvittoria.com
Alberghi,Nilhotel,Via Barsanti 27/a,50142,Firenze,FI,Toscana,055795540,05579554801,info@nilhotel.it
Alberghi,Hotel Art Museo,Viale Della Repubblica 289,59100,Prato,PO,Toscana,,,arthotel@texnet.it
Alberghi,Hotel Planet,Rigutino Est 161/162,52100,Arezzo,AR,Toscana,057597971,05759797444,info@hotelhp.it
Alberghi,Guastini,Piazza Petruccioli 16/34,58017,Pitigliano,GR,Toscana,,0564616652,htlguastini@katamail.com
Alberghi,Michelangelo,Via Rosselli 3,54033,Carrara,MS,Toscana,0585777161,,hm.carrara@tin.it
Alberghi,Olimpia,Via Polo 4,55042,Forte Dei Marmi,LU,Toscana,0584787246,,olimpia@versilia.toscana.it
Alberghi,Hotel Villa Jessica,Via Dei Colli 65,53042,Chianciano Terme,SI,Toscana,057863506,057863506,hotel.villajessica@libero.it
Alberghi,Hotel Ristorante Margherita,Via Dell' Appennino 17/19,59024,Vernio,PO,Toscana,0574 959926,0574959349,hotel@margheritahotel.com
Alberghi,San Marco,Viale Rosselli 3,51016,Montecatini Terme,PT,Toscana,057271221,,info@sanmarco-hotel.it
Alberghi,Da Augusto,Via Marconi 101,58023,Gavorrano,GR,Toscana,0566 844373,0566 844373,albergo.augusto@tiscali.it
Alberghi,Hotel Ely,Via Carrara 16,55083,Viareggio,LU,Toscana,058450758,0584407387,info@hotelely.it
Alberghi,Hotel Erina,Via Fiume 17,50123,Firenze,FI,Toscana,055288294,055284343,info@hotelerina.it
Alberghi,Valle Verde,,57030,Marciana,LI,Toscana,0565907287,0565907965,info@elbahotelvalleverde.it
Alberghi,Grand Hotel La Pace,Corso Roma 12,51016,Montecatini Terme,PT,Toscana,05729240,,htlapace@tin.it
Alberghi,Alla Dimora Lucense di Rosanna Scicchitano,Via Fontana 19,55100,Lucca,LU,Toscana,0583495722,0583441210,dimoralucense@libero.it
Alberghi,Hotel Tourist House Ghiberti di Baroni Claudio,Via Bufalini 1,50122,Firenze,FI,Toscana,055261171,055264170,thghiberti@tiscali.it
Alberghi,Il Pino,Via Della Repubblica 17/19,57027,San Vincenzo,LI,Toscana,0565701649,0565701649,hotel.ilpino@alice.it
Alberghi,Hotel Villa Tavolese,Via Tavolese 221,50021,Barberino Val D'elsa,FI,Toscana,0571660224,0571660227,fernando@toscanaitaly.com
Alberghi,Starhotels Vespucci,Via San Quirico 292/a,50010,Campi Bisenzio,FI,Toscana,05589551,0558986085,vespucci.fi@starhotels.it
Alberghi,Hotel Davanzati,Via Porta Rossa 5,50123,Firenze,FI,Toscana,055286666,0552658252,info@hoteldavanzati.it
Alberghi,Hotel Patrizia,Via Montebello 7,50123,Firenze,FI,Toscana,,,patrizia@tin.it
Alberghi,Hotel Villa Belvedere,Via Dante Alighieri 14,53037,San Gimignano,SI,Toscana,,0577940327,hotel.villa.belvedere@tin.it
Alberghi,Hotel Il Diario,Via Tiberina 95,52036,Pieve Santo Stefano,AR,Toscana,,0575797828,info@hotelildiario.it
Alberghi,Relais Dell'orologio,Via Della Fagiole 12,56100,Pisa,PI,Toscana,05083118,050551869,info@hotelrelaisorologio.com
Alberghi,Regency,Piazza Massimo D'azeglio 3,50121,Firenze,FI,Toscana,055245247,0552346735,info@regency-hotel.com
Alberghi,Istituto Figlie Del Divino Zelo,P. S. Francesco 2,53045,Montepulciano,SI,Toscana,0578757005,0578757757,fdzmontepulciano@hotmail.it
Alberghi,Piccolo Hotel Aurora,Via Piscinello 51,53021,Abbadia San Salvatore,SI,Toscana,0577718173,0577776445,info@piccolohotelaurora.com
Alberghi,Hotel Villa Aurea,A. Campaccio,52044,Cortona,AR,Toscana,,,info@villaaurea.it
Alberghi,Stella Maris,Località Pareti,57031,Capoliveri,LI,Toscana,0565968425,0565968010,info@albergostellamaris.com
Alberghi,Michela,Via Vicenza 5/a,54100,Massa,MS,Toscana,0585241390,,info@michelahotel.com
Alberghi,Il Borgo di Vescine,Località Vescine,53017,Radda In Chianti,SI,Toscana,0577741144,0577740263,info@vescine.it
Alberghi,Hotel Silla,Via Renai 5/r,50125,Firenze,FI,Toscana,0552342889,0552341437,hotelsilla@hotelsilla.it
