REGIONE,categoria B,Azienda,Via,Città,Provincia,STELLE,sito,E-mail,Note
Abruzzo,,Antica Dimora Hotel Sole,Largo Silvestro dell'Aquila 4,L'AQUILA,AQ,,,booking@solehotel.eu,
Abruzzo,,La Bussola,Lido Riccio 18,ORTONA - RICCIO,CH,,,info@labussolaortona.it,
Abruzzo,,Hotel Katia,Lido Riccio 23,ORTONA - RICCIO,CH,,,info@hotelkatia.com,
Abruzzo,,Mara,Lido Riccio 5,ORTONA - RICCIO,CH,,,marahotl@tin.it,
Abruzzo,,Nido dell'Aquila,Loc. Fonte Cerreto-Gran Sasso D'Italia,L'AQUILA - FONTE CERRETO,AQ,,,nido.dellaquila@tiscali.it,
Abruzzo,,Fiordigigli,Località Base della Funivia Gran Sasso,L'AQUILA - FONTE CERRETO,AQ,,,info@fiordigigli.com,
Abruzzo,,Corona,Località I Traversa di Via Collacchi 2,PESCASSEROLI,AQ,,,hcorona@tin.it,
Abruzzo,,Il Poggio,Località il Poggio,ROCCARASO,AQ,,,anto.facaldo@hotmail.com,
Abruzzo,,Del Camerlengo,Località Macchia del Fresco,FARA SAN MARTINO,CH,,,info@camerlengo.it,
Abruzzo,,Panorama,Località Maieletta,PRETORO,CH,,,info@grandhotelpanorama.it,
Abruzzo,,Mamma Rosa,Località Maielletta 35,PRETORO,CH,,,info@mammarosa.it,
Abruzzo,,La Poiana,Località Masseria,BARREA,AQ,,,info@albergolapoiana.it,
Abruzzo,,Le Silfidi,Località Monte Pizzuto,SCHIAVI DI ABRUZZO,CH,,,sorgegroup@libero.it,
Abruzzo,,Del Sole,Località Piana del Leone,ROCCARASO,AQ,,,albergodelsole@libero.it,
Abruzzo,,Sport Village,Località Piana Santa Liberata,CASTEL DI SANGRO,AQ,,,sportvillagehotel@email.it,
Abruzzo,,La Masseria,Località Piazzano di Atessa 69,ATESSA,CH,,,hm@hotellamasseria.it,
Abruzzo,,Miramonti,Localita' Prati di Tivo,PIETRACAMELA - PRATI DI TIVO,TE,,,miramonti.gransasso@libero.it,
Abruzzo,,Europa,Localita' Prati di Tivo,PIETRACAMELA - PRATI DI TIVO,TE,,,info@europagransasso.it,
Abruzzo,,Holiday,Località San Tommaso,VASTO - VASTO MARINA,CH,,,h.holiday@libero.it,
Abruzzo,,Acquario,Località San Tommaso,VASTO - VASTO MARINA,CH,,,info@hotel-acquario.it,
Abruzzo,,Lido,Località San Tommaso 351,VASTO - VASTO MARINA,CH,,,info@hotellidovasto.it,
Abruzzo,,La Réserve Hotel Terme,Località Santa Croce,CARAMANICO TERME,PE,,,info@lareserve.it; direzione@lareserve.it,
Abruzzo,,Podere Frassineto,Localita' Villa Marocchi,CAMPLI - SANT'ONOFRIO,TE,,,poderefrassineto@libero.it,
Abruzzo,,Holiday,Lungomare Cristoforo Colombo 102,PESCARA,PE,,,info@hotelholiday.net,
Abruzzo,,Sympathy,Lungomare Europa 26,MARTINSICURO,TE,,,info@sympathyhotel.it,
Abruzzo,,Galf,Lungomare Italia,MARTINSICURO - VILLA ROSA,TE,,,hotelgalf@tin.it,
Abruzzo,,Hotel Maxim's,Lungomare Italia 56,MARTINSICURO - VILLA ROSA,TE,,,info@hotelmaxims.it,
Abruzzo,,Corallo,Lungomare Italia 60,MARTINSICURO - VILLA ROSA,TE,,,info@hotel-corallo-abruzzo.com,
Abruzzo,,Haway,Lungomare Italia 62,MARTINSICURO - VILLA ROSA,TE,,,info@hotelhaway.it,
Abruzzo,,Olimpic,Lungomare Italia 72,MARTINSICURO - VILLA ROSA,TE,,,olimpic@hotelolimpic.it,
Abruzzo,,President,Lungomare Marconi 100,ALBA ADRIATICA,TE,,,info@hotel-president.it,
Abruzzo,,Boston,Lungomare Marconi 102,ALBA ADRIATICA,TE,,,bostonhotel@tiscalinet.it,
Abruzzo,,Royal,Lungomare Marconi 146,ALBA ADRIATICA,TE,,,info@royalh.it,
Abruzzo,,Impero,Lungomare Marconi 162,ALBA ADRIATICA,TE,,,info@hotelimpero.com,
Abruzzo,,Hotel Lido,Lungomare Marconi 200,ALBA ADRIATICA,TE,,,info@lidohotel.net,
Abruzzo,,Excelsior,Lungomare Marconi 238,ALBA ADRIATICA,TE,,,info@excelsioralba.com,
Abruzzo,,Antares,Lungomare Marconi 258,ALBA ADRIATICA,TE,,,info@hotelantares.biz,
Abruzzo,,Tassoni,Lungomare Marconi 28,ALBA ADRIATICA,TE,,,info@hoteltassoni.com,
Abruzzo,,Hotel Meripol,Lungomare Marconi 290,ALBA ADRIATICA,TE,,,info@hotelmeripol.it,
Abruzzo,,Doge,Lungomare Marconi 292,ALBA ADRIATICA,TE,,,info@hoteldoge.it,
Abruzzo,,Sporting,Lungomare Marconi 308,ALBA ADRIATICA,TE,,,info@hsporting.it,
Abruzzo,,Hotel Baltic,Lungomare Marconi 310,ALBA ADRIATICA,TE,,,info@hotelbaltic.it,
Abruzzo,,Atlas,Lungomare Marconi 314,ALBA ADRIATICA,TE,,,info@hotelatlas.it,
Abruzzo,,Eden,Lungomare Marconi 328,ALBA ADRIATICA,TE,,,info@hoteleden.it,
Abruzzo,,Alb's,Lungomare Marconi 426,ALBA ADRIATICA,TE,,,info@hotelalbs.it,
Abruzzo,,King,Lungomare Marconi 86,ALBA ADRIATICA,TE,,,info@hotelking.it,
Abruzzo,,Salus,Lungomare Matteotti 13-1,PESCARA,PE,,,info@salushotel.it,
Abruzzo,,Radar,Lungomare Roma 14,ROSETO DEGLI ABRUZZI,TE,,,hotelradar@tiscalinet.it,
Abruzzo,,Clorinda,Lungomare Roma 30,ROSETO DEGLI ABRUZZI,TE,,,info@clorindahotel.it,
Abruzzo,,Liberty,Lungomare Roma 8,ROSETO DEGLI ABRUZZI,TE,,,info@hotelliberty.net,
Abruzzo,,Ambassador,Lungomare Sirena,TORTORETO - TORTORETO LIDO,TE,,,info@h-ambassador.com,
Abruzzo,,Nuovo Righi,Lungomare Sirena 230,TORTORETO - TORTORETO LIDO,TE,,,nuovorighi@duialca.com,
Abruzzo,,Continental,Lungomare Sirena 30,TORTORETO - TORTORETO LIDO,TE,,,info@hcontinental.com,
Abruzzo,,Costa Verde,Lungomare Sirena 356,TORTORETO - TORTORETO LIDO,TE,,,info@hotel-costaverde.com,
Abruzzo,,Poseidon,Lungomare Sirena 370,TORTORETO - TORTORETO LIDO,TE,,,info@hotelposeidontortoreto.com,
Abruzzo,,Cesare,Lungomare Spalato 80,GIULIANOVA,TE,,,cesare@duialca.com,
Abruzzo,,Miramare,Lungomare Spalato 82,GIULIANOVA,TE,,,info@hmiramare.it,
Abruzzo,,Tiziana,Lungomare Spalato 88,GIULIANOVA,TE,,,info@hoteltiziana.it,
Abruzzo,,Hotel Roma,Lungomare Trento,ROSETO DEGLI ABRUZZI,TE,,,info@hotelromasulmare.com,
Abruzzo,,Mion,Lungomare Trento 101,ROSETO DEGLI ABRUZZI,TE,,,info@hotelmion.it,
Abruzzo,,Palmarosa,Lungomare Trento 3,ROSETO DEGLI ABRUZZI,TE,,,info@hotelpalmarosa.it,
Abruzzo,,Il Moro,Lungomare Trento 47,ROSETO DEGLI ABRUZZI,TE,,,info@hotelilmoro.it,
Abruzzo,,Bellavista,Lungomare Trento 75,ROSETO DEGLI ABRUZZI,TE,,,hotel@bellavistahotel.net,
Abruzzo,,Parco dei Principi,Lungomare Zara,GIULIANOVA,TE,,,info@giulianovaparcodeiprincipi.it,
Abruzzo,,Mareblu,Lungomare Zara,GIULIANOVA,TE,,,info@giulianovahotelmareblu.it,
Abruzzo,,Baltic,Lungomare Zara,GIULIANOVA,TE,,,info@hotelbaltic.com,
Abruzzo,,Avila,Lungomare Zara,GIULIANOVA,TE,,,info@avilahotel.it,
Abruzzo,,Atlantic,Lungomare Zara 117,GIULIANOVA,TE,,,info@atlanticgiulianova.com,
Abruzzo,,Smeraldo,Lungomare Zara 119,GIULIANOVA,TE,,,smeraldo@lorenzihotels.com,
Abruzzo,,Promenade,Lungomare Zara 119,GIULIANOVA,TE,,,info@hotelpromenade.com,
Abruzzo,,Riviera,Lungomare Zara 47,GIULIANOVA,TE,,,riviera@ixpress.it,
Abruzzo,,Europa,Lungomare Zara 57,GIULIANOVA,TE,,,info@htleuropa.it,
Abruzzo,,Cristallo,Lungomare Zara 73,GIULIANOVA,TE,,,info@hcristallo.it,
Abruzzo,,Don Juan,Lungomare Zara 97,GIULIANOVA,TE,,,info@grandhoteldonjuan.it,
Abruzzo,,Don Luis,Parco del Sangro,CASTEL DI SANGRO,AQ,,,info@hoteldonluis.com,
Abruzzo,,Hotel Castello,Piazza Battaglione Alpini,L'AQUILA,AQ,,,info@hotelcastelloaq.com,
Abruzzo,,Best Western Hotel Duca d'Aosta,Piazza Duca d'Aosta 4,PESCARA,PE,,,duca@schiratohotels.it,
Abruzzo,,Hotel Esplanade,Piazza I Maggio 46,PESCARA,PE,,,reservations@esplanade.net,
Abruzzo,,Italia,Piazza Marconi 6,PINETO,TE,,,informazioni@hotelitalia.org,
Abruzzo,,Zunica,Piazza Pepe 14,CIVITELLA DEL TRONTO,TE,,,tremonelle@hotelzunica.it,
Abruzzo,,Best Western Hotel Plaza,Piazza Sacro Cuore 55,PESCARA,PE,,,plaza@schiratohotels.it,
Abruzzo,,La Gran Baita,Piazzale Amorocchi,PIETRACAMELA - PRATI DI TIVO,TE,,,info@lagranbaita.com,
Abruzzo,,Gran Sasso 3,Piazzale Amorocchi,PIETRACAMELA - PRATI DI TIVO,TE,,,gransasso3@tiscali.it,
Abruzzo,,Amorocchi,Piazzale Amorocchi,PIETRACAMELA - PRATI DI TIVO,TE,,,info@hotelamarocchi.it,
Abruzzo,,Vetta d'Abruzzo,Piazzale della Stazione 23,ROCCARASO,AQ,,,info@hotelvettadabruzzo.it,
Abruzzo,,Grand Hotel Montesilvano & Residence Eurhotel,Piazzale Kennedy 28,MONTESILVANO,PE,,,info@ghmeurhotels.com,
Abruzzo,,L'Aragosta,Piazzale Magnarapa 10,CASALBORDINO - LIDO DI CASALBORDINO,CH,,,info@hotelaragosta.it,
Abruzzo,,Villa Immacolata,Strada Comunale San Silvestro 340,PESCARA,PE,,,info@villaimmacolata.it,
Abruzzo,,Villa Sabelli,Strada dei Fiori,CITTA' SANT'ANGELO,PE,,,villa.sabelli@virgilio.it,
Abruzzo,,Centro Turistico San Colombo,"Strada Provinciale Km 4,2",BARISCIANO,AQ,,,info@sancolombotur.com,
Abruzzo,,Hotel del Parco,Strada San Nicolao 1,CARAMANICO TERME,PE,,,principidicaramanico@interfree.it,
Abruzzo,,Montecarlo,Strada Statale 16 256,VASTO - VASTO MARINA,CH,,,info@hotelmontecarlovasto.it,
Abruzzo,,Excelsior,Strada Statale 16 Sud 266,VASTO - VASTO MARINA,CH,,,excelsior.vasto@virgilio.it,
Abruzzo,,Parco delle Rose,Strada Statale 17 Bis 43,L'AQUILA - PAGANICA,AQ,,,hotelpdr@inwind.it,
Abruzzo,,5 Miglia,"Strada Statale 17 Km 134,500",RIVISONDOLI,AQ,,,info@5miglia.com,
Abruzzo,,Holidays,Strada Statale 17 Km 136,ROCCARASO,AQ,,,hotel.holidays@libero.it,
Abruzzo,,Santacroce Hotel Meeting,"Strada Statale 17 Km 95,500",SULMONA,AQ,,,meeting@arc.it,
Abruzzo,,Europa Park Hotel,"Strada Statale 17 Km 95,5-Bivio Badia",SULMONA,AQ,,,europaph@arc.it,
Abruzzo,,Amiternum,Strada Statale 17 Ovest 1,L'AQUILA,AQ,,,hotel@hotelamiternum.it,
Abruzzo,,Canadian,Strada Statale 17-Casermette,L'AQUILA,AQ,,,canadian@canadianhotel.it,
Abruzzo,,Altopiano delle Rocche,Strada Statale 5 bis 47,ROCCA DI MEZZO,AQ,,,hotelaltopiano@virgilio.it,
Abruzzo,,Tuttosport,"Strada Statale 584 12,800",LUCOLI - COLLIMENTO,AQ,,,info@hoteltuttosport.it,
Abruzzo,,La Vecchia Miniera,"Strada Statale 584 Km 20,400",LUCOLI,AQ,,,lavecchiaminiera@interfree.it,
Abruzzo,,Il Vigneto,Strada Statale 649 Direzione Fondovalle Alento,CHIETI,CH,,,info@ilvignetohotel.it,
Abruzzo,,Compagnia del Viaggiatore,Strada Statale 80,L'AQUILA,AQ,,,compagniadelviaggiatore@tin.it,
Abruzzo,,La Rupe,"Strada Statale 83 Km 9,300",PESCINA,AQ,,,info@hotellarupe.com,
Abruzzo,,Le Sequoie,Strada Statale Tiburtina Valeria Km 68.900,CARSOLI,AQ,,,hotellesequoie@libero.it,
Abruzzo,,Hotel Villa Medici,Uscita Autostradale A14,LANCIANO,CH,,,htlmedici@tiscalinet.it,
Abruzzo,,Thema,Uscita Autostradale A14-Lanciano,ROCCA SAN GIOVANNI,CH,,,hotelthema@virgilio.it,
Abruzzo,,Principe,Via Adda 4,ALBA ADRIATICA,TE,,,principe.hotel@libero.it,
Abruzzo,,Levante,Via Adriatica 120,FOSSACESIA - FOSSACESIA MARINA,CH,,,info@hotellevante.it,
Abruzzo,,Astoria,Via Alcide De Gasperi 1,PINETO,TE,,,direzione@hotelastoriapineto.com,
Abruzzo,,Venezia,Via Alcide De Gasperi 35,TORTORETO - TORTORETO LIDO,TE,,,info@hvenezia.com,
Abruzzo,,Hotel dei Vestini,Via Aldo Caselli 37,PENNE,PE,,,info@hoteldeivestini.com,
Abruzzo,,Promenade,Via Aldo Moro 63-Montesilvano Marina,MONTESILVANO,PE,,,info@hotelpromenadeonline.com,
Abruzzo,,Sea Lion,Via Aldo Moro 65-Montesilvano Marina,MONTESILVANO,PE,,,info@sealionhotel.com,
Abruzzo,,Marebello,Via Aldo Moro 76,TORTORETO - TORTORETO LIDO,TE,,,info@hotelmarebellotortoreto.com,
Abruzzo,,Sporting,Via Alessandrini 55,CASALBORDINO - LIDO DI CASALBORDINO,CH,,,hotelsporting@virgilio.it,
Abruzzo,,Holiday,Via Amalfi 27-35,MARTINSICURO - VILLA ROSA,TE,,,info@hotelholiday.it,
Abruzzo,,Hotel Miramare,Via Amerigo Vespucci 1,SAN VITO CHIETINO - SAN VITO MARINA,CH,,,info@hotel-miramare.info,
Abruzzo,,Baffo Rosso,Via Amerigo Vespucci 1,CORROPOLI,TE,,,info@bafforosso.it,
Abruzzo,,Lady G,Via Amerigo Vespucci 21/23,TORTORETO - TORTORETO LIDO,TE,,,info@ladyg.it,
Abruzzo,,La Rotonda,Via Amerigo Vespucci 6,CEPAGATTI - VILLANOVA,PE,,,info@hotel-larotonda.it,
Abruzzo,,Cenzo,Via Arano,OVINDOLI,AQ,,,info@hotelcenzo.it,
Abruzzo,,Hotel Clara,Via Archimede 80,TORTORETO - TORTORETO LIDO,TE,,,info@hclara.it,
Abruzzo,,Paradiso Aremogna,Via Aremogna,ROCCARASO - AREMOGNA,AQ,,,info@hotelparadisoaremogna.it,
Abruzzo,,Lusi,Via Aremogna,ROCCARASO,AQ,,,info@hotellusi.it,
Abruzzo,,Pizzalto,Via Aremogna 12,ROCCARASO - AREMOGNA,AQ,,,pizzalto@pizzalto.com,
Abruzzo,,Boschetto,Via Aremogna 42,ROCCARASO - AREMOGNA,AQ,,,h.boschetto@roccaraso.it,
Abruzzo,,Rifugio Principessa Giovanna,Via Aremogna snc,ROCCARASO - AREMOGNA,AQ,,,info@rifugioroccaraso.it,
Abruzzo,,Sea Park Resort,Via Arenzano,GIULIANOVA,TE,,,info@hotelseapark.com,
Abruzzo,,Casa Rossa,Via Ascolana 58,ALBA ADRIATICA,TE,,,info@hotelristorantecasarossa.it,
Abruzzo,,Grande Albergo Abruzzo,Via Asinio Herio 20,CHIETI,CH,,,gaa@albergoabruzzo.com,
Abruzzo,,Enrica,Via Aterno 441,CHIETI - BRECCIAROLA,CH,,,info@hotelenrica.it,
Abruzzo,,Calgary,Via Bachelet 70,CASALBORDINO - LIDO DI CASALBORDINO,CH,,,info@hotelcalgary.it,
Abruzzo,,Boracay,Via Battisti 171,TERAMO,TE,,,info@boracay.it,
Abruzzo,,I Colori,Via Belvedere 12,LANCIANO,CH,,,info@icolorialbergodiffuso.it,
Abruzzo,,Vallefura,Via Belvedere degli Sciatori 5,PESCOCOSTANZO,AQ,,,info@hotelvallefura.it,
Abruzzo,,Astor,Via Benedetto Croce 27,SILVI - SILVI MARINA,TE,,,info@hotelastorsilvi.it,
Abruzzo,,Il Vecchio Pescatore,Via Benedetto Virgilio 175,VILLETTA BARREA,AQ,,,info@ilvecchiopescatore.net,
Abruzzo,,Bocca di Valle,Via Bocca di Valle 66,GUARDIAGRELE,CH,,,info@hotelboccadivalle.com,
Abruzzo,,Hotel Novantanove Cannelle,Via Borgo Riviera 21/23,L'AQUILA,AQ,,,info@hotel99cannelle.com,
Abruzzo,,Excelsior,Via Bradano 5,MONTESILVANO,PE,,,postaexcelsior@frontiere.net,
Abruzzo,,Le Nazioni,Via Bradano 6-Montesilvano Marina,MONTESILVANO,PE,,,info@hotellenazioni.com,
Abruzzo,,Albergo S.Gabriele,Via Brodolini 2,MARTINSICURO - VILLA ROSA,TE,,,info@albergosangabriele.it,
Abruzzo,,Duca degli Abruzzi,Via C. Maresca 15-Montesilvano Marina,MONTESILVANO,PE,,,info@hotelduca.it,
Abruzzo,,Cocoon,Via Cabinovia 1,PESCASSEROLI,AQ,,,hotelcocoon@libero.it,
Abruzzo,,D'Atri,Via Calabria 14/1,MONTESILVANO,PE,,,hoteldatri@yahoo.it,
Abruzzo,,Parco Gran Sasso,Via Campo Imperatore,CASTEL DEL MONTE,AQ,,,htlparcogransasso@tiscali.it,
Abruzzo,,Grand Hotel Mediterraneo,Via Carlo Maresca 34-Montesilvano Marina,MONTESILVANO,PE,,,info@ghmediterraneo.com,
Abruzzo,,Hotel Villa Luigi,Via Casone,MARTINSICURO - VILLA ROSA,TE,,,info@hotelvillaluigi.it,
Abruzzo,,Hotel Nettuno,Via Cavour 156,ROSETO DEGLI ABRUZZI,TE,,,info@nettunohotel.org,
Abruzzo,,Dei Marsi,Via Cavour 79/B,AVEZZANO,AQ,,,hoteldeimarsi@libero.it,
Abruzzo,,Lunik,Via Cesare De Titta 124,PINETO,TE,,,info@hotellunik.com,
Abruzzo,,Villa Alessandra,Via Circonterranea 51,ALANNO,PE,,,info@villaalessandra.it,
Abruzzo,,Santacroce Hotel Ovidius,Via Circonvallazione occidentale 177,SULMONA,AQ,,,info@hotelovidius.it,
Abruzzo,,Acquevive,Via Circumlacuale,SCANNO,AQ,,,acquevive@tin.it,
Abruzzo,,Trieste,Via Claudio Mori 15,ROCCARASO,AQ,,,info@hoteltrieste.it,
Abruzzo,,Sporting,Via Claudio Mori 5,ROCCARASO,AQ,,,info@hotelsporting.com,
Abruzzo,,Orso Bianco,Via Collacchi 1,PESCASSEROLI,AQ,,,ors.bianco@tin.it,
Abruzzo,,Pinguino,Via Collacchi 2,PESCASSEROLI,AQ,,,angelademassis@virgilio.it,
Abruzzo,,Lo Scoiattolo,Via Collacchi 3,PESCASSEROLI,AQ,,,info@loscoiattolohotel.com,
Abruzzo,,Modus Vivendi,Via Colle della Selva 5,ABBATEGGIO,PE,,,info@ecoalbergomodusvivendi.it,
Abruzzo,,Caldora,Via Colli della Mula 3,ROCCA DI MEZZO,AQ,,,hotel.caldora@tin.it,
Abruzzo,,Il Bucaneve,Via Colli dell'Oro,PESCASSEROLI,AQ,,,h.bucaneve@tin.it,
Abruzzo,,Edelweiss,Via Colli dell'Oro 10,PESCASSEROLI,AQ,,,edelw.89@libero.it,
Abruzzo,,Palace,Via Cristoforo Colombo 43,TORTORETO - TORTORETO LIDO,TE,,,info@hotelpalacetortoreto.it,
Abruzzo,,Giada,Via Cristoforo Colombo 84,SILVI - SILVI MARINA,TE,,,reception@htlgiada.it,
Abruzzo,,Miramonti,Via D. di Rienzo 32,SCANNO,AQ,,,info@albergomiramontiscanno.it,
Abruzzo,,Beach,Via Dante 6,TORTORETO - TORTORETO LIDO,TE,,,info@hotelbeach.it,
Abruzzo,,Hermitage Hotel Club & Spa,Via Dante Alighieri 1,SILVI - SILVI MARINA,TE,,,info@hermitagesilvi.com,
Abruzzo,,Como,Via Dante Alighieri 45,RIVISONDOLI,AQ,,,info@hotelcomo.com,
Abruzzo,,Hotel Falco Azzurro,Via Dante Alighieri 46,MARTINSICURO,TE,,,info@falcoazzurro.it,
Abruzzo,,Mille Pini,Via Dante Alighieri 6,OVINDOLI,AQ,,,info@hotelmillepini.it,
Abruzzo,,Piccola Selva,Via Dante Alighieri 8,OVINDOLI,AQ,,,info@hotelpiccolaselva.com,
Abruzzo,,Sporting,Via De Gasperi 41,TERAMO,TE,,,info@hotelsporting.teramo.it,
Abruzzo,,Hotel Rojan,Via degli Agghiacciati 15,SULMONA,AQ,,,info@hotelrojan.it,
Abruzzo,,Castello Chiola,Via degli Equino 12,LORETO APRUTINO,PE,,,info@castellochiolahotel.com,
Abruzzo,,Il Giardino del Rio,Via degli Oschi 4,CASTEL DI SANGRO,AQ,,,info@ilgiardinodelrio.it,
Abruzzo,,Conca d'Oro,Via degli Sciatori 32,ROCCARASO,AQ,,,conca.doro@libero.it,
Abruzzo,,Villa Truentum,Via dei Colli 3,MARTINSICURO,TE,,,hvt@libero.it,
Abruzzo,,Hotel San Michele,Via dei Giardini 6,L'AQUILA,AQ,,,info@stmichelehotel.it,
Abruzzo,,Park,Via del Ceraso 178,OVINDOLI,AQ,,,parkhotel@ovindolimagnola.it,
Abruzzo,,Magnola Palace,Via del Ceraso 89,OVINDOLI,AQ,,,info@magnolapalacehotel.com,
Abruzzo,,Le Focette,Via del Lago 24,SCANNO,AQ,,,lefocette@tiscalinet.it,
Abruzzo,,Il Triangolo,Via del Mare 8,ROSETO DEGLI ABRUZZI - COLOGNA SPIAGGIA,TE,,,info@hoteliltriangolo.it,
Abruzzo,,Valle dell'Oro,Via della Cabinovia,PESCASSEROLI,AQ,,,info@valledelloro.com,
Abruzzo,,Alle Vecchie Arcate,Via della Chiesa 57/A,PESCASSEROLI,AQ,,,vecchiearcate@mail.com,
Abruzzo,,Campo Felice,Via della Montagna,LUCOLI - CASAMAINA,AQ,,,info@hotelcampofelice.com,
Abruzzo,,Osteria della Posta,Via della Palombaia 1,POGGIO PICENZE,AQ,,,info@albergolaposta.net,
Abruzzo,,Monte Marsicano,Via della Piazza 1,PESCASSEROLI,AQ,,,info@soloalberghi.com,
Abruzzo,,Felicioni,Via della Rampa 30,PINETO,TE,,,info@hotelfelicioni.com,
Abruzzo,,Centrale,Via della Stazione 2,PINETO,TE,,,hotelcentrale@pineto.com,
Abruzzo,,Villa Nacalua,Via dell'Autostrada 5,CITTA' SANT'ANGELO,PE,,,info@nacalua.com,
Abruzzo,,Lago Verde,Via delle Terme 13,SANT'OMERO,TE,,,info@hotelristorantelagoverde.it,
Abruzzo,,Azzurro,Via di Vincenzo 2,L'AQUILA,AQ,,,prepasrl@virgilio.it,
Abruzzo,,Vittoria,Via Domenico di Rienzo 46,SCANNO,AQ,,,hotelvittoriasas@virgilio.it,
Abruzzo,,Margherita,Via Domenico Tanturri 100,SCANNO,AQ,,,margheritascanno@libero.it,
Abruzzo,,Seggiovia,Via Domenico Tanturri 42,SCANNO,AQ,,,info@albergoseggiovia.it,
Abruzzo,,La Villa,Via Don Sturzo 1,MARTINSICURO - VILLA ROSA,TE,,,info@hotellavilla.it,
Abruzzo,,Hotel Park,Via Don Sturzo 9,MARTINSICURO - VILLA ROSA,TE,,,info@hotelpark.it,
Abruzzo,,Duomo,Via Dragonetti 10,L'AQUILA,AQ,,,info@hotel-duomo.it,
Abruzzo,,Filippone,Via Duca degli Abruzzi 173,GIOIA DEI MARSI,AQ,,,filippone@filippone.it,
Abruzzo,,Hotel Ristorante Paradise,Via Elsa Morante 7,CEPAGATTI,PE,,,hrparadise@hotmail.it,
Abruzzo,,La Pergola,Via Emilia 9,ALBA ADRIATICA,TE,,,info@hotelpergola.it,
