,,,
STRUTTURE AFFILIATE,,,
Nome,Mail,Località/Città,Pr.
CASTELLO VICCHIOMAGGIO,info@vicchiomaggio.it ,Greve in Chianti,Fi
CASTELLO DEL NERO HOTEL&SPA,info@castellodelnero.com ,Tavarnelle Vp,Fi
BORGO DI CORTEFREDA,max@borgodicortefreda.com,Tavarnelle Vp,Fi
PARK HOTEL CHIANTI,info@parkhotelchianti.com ,Sambuca / Tavarnelle Vp,Fi
FATTORIA PRATALE,info@pratale.it ,Tavarnelle Vp,Fi
HOTEL VILLA TAVOLESE,tavolese@tavolese.com ,Marcialla ,Fi
VILLA SAN FILIPPO,info@villasanfilippo.com ,Barberino Val D'Elsa,Fi
HOTEL SEMIFONTE,semifonte@semifontehotel.it  ,Barberino Val D'Elsa,Fi
LE TRE API COUNTRY RESORT,info@chianti-voyager.it ,Barberino Val D'Elsa,Fi
B&B VILLANOVA,info@villanovatoscana.com,Barberino Val D'Elsa,Fi
HOTEL PRIMAVERA,info@primavera-hotel.it  ,Barberino Val D'Elsa,Fi
VILLA LE MASCHERE,reservations@villalemaschere.it ,Barberino Mugello,Fi
INN HOTEL, info@innhotel.it ,Barberino Mugello,Fi
HOTEL BARBERINO,info@hotelbarberino.it ,Barberino Mugello,Fi
HOTEL IL CAVALLO,info@hoteilcavallo.it,Barberino Mugello,Fi
HOTEL DEI VICARI, info@hoteldeivicari.com ,Scarperia,Fi
UNA POGGIO DEI MEDICI RESORT,una.poggiodeimedici@unahotels.it ,Scarperia,Fi
PARK HOTEL RIPA VERDE,info@ripaverde.it ,Borgo San Lorenzo,Fi
MONSIGNORE CASA COUNTRY,booking@monsignore.com ,Borgo San Lorenzo,Fi
GIOTTO PARK HOTEL,informazioni@villagiotto.com ,Bivigliano,Fi
HOTEL MARRANI,hotelmarrani@virgilio.it  ,Ronta,Fi
HOTEL SAN MICHELE,info@hotelsanmichele.net,Cortona,Ar
HOTEL SAN LUCA,info@sanlucacortona.com ,Cortona,Ar
RELAIS BORGO SAN PIETRO,info@borgosanpietro.com,Cortona,Ar
HOTEL VILLA UAREA PSICOBLU,info@villaaurea.it,Cortona,Ar
Totale N. 49,,,
,,,
STRUTTURE PRATO E PISTOIA,,,
ART HOTEL MUSEO,info@arthotel-museo.it ,Prato,Po
WALL ART,info@wallart.it ,Prato,Po
ART HOTEL MILANO,reservation@arthotel-milano.it ,Prato,Po
HOTEL FLORA,info@hotelflora.info  ,Prato,Po
HOTEL PRESIDENT,sales@hotelpresidentprato.com ,Prato,Po
HOTEL GIARDINO,info@giardinohotel.com,Prato,Po
HOTEL PALACE PRATO,info@palaceprato.it,Prato,Po
CHARME HOTEL,info@charmehotel.it ,Prato,Po
HOTEL DATINI,massimiliano.booking@hoteldatini.com,Prato,Po
HOTEL VILLA CAPPUGI, info@hotelvillacappugi.com ,Pistoia,Pt
HOTEL PATRIA,info@patriahotel.com ,Pistoia,Pt
HOTEL MILANO,segreteria@hotelmilanopistoia.it ,Pistoia,Pt
Totale N. 12,,,
,,,
STRUTTURE PISA,,,
ABITALIA TOWER PLAZA,info@abitaliahotels.it ,Pisa,Pi
GRAND HOTEL BONANNO,info@grandhotelbonanno.it,Pisa,Pi
GOLDEN TULIP GALILEI,info@goldentulipgalilei.com ,Pisa,Pi
NH CAVALIERI,nhcavalieri@nh-hotels.com  ,Pisa,Pi
LA PACE,info@hotellapace.it ,Pisa,Pi
HOTEL BOLOGNA,info@hotelbologna.pisa.it  ,Pisa,Pi
SAN RANIERI HOTEL, info@sanranierihotel.com ,Pisa,Pi
AC HOTEL PISA, acpisa@ac-hotels.com   ,Pisa,Pi
HOTEL DI STEFANO,hds@email.it,Pisa,Pi
HOTEL MINERVA,info@hotelminervapisa.it ,Pisa,Pi
HOTEL TERMINUS & PLAZA,info@hotelterminusplaza.it ,Pisa,Pi
HOTEL ROMA,info@hotelroma.pisa.it,Pisa,Pi
HOTEL VILLA PRIMAVERA,info@hotelvillaprimavera.it ,Pisa,Pi
B&B HOTEL PISA,pisa@hotelbb.com,Pisa,Pi
HOTEL VILLA KINZIKA,info@hotelvillakinzica.it ,Pisa,Pi
HOTEL VILLA VERDI,info@verdihotel.it ,Pisa,Pi
HOTEL A. DELLA SPINA,info@hoteldellaspina.it ,Pisa,Pi
HOTEL ARISTON,info@hotelariston.pisa.it ,Pisa,Pi
HOTEL S. CROCE IN FOSSABANDA,info@fossabanda.it ,Pisa,Pi
HOTEL TOURING,info@hoteltouringpisa.com ,Pisa,Pi
PARK HOTEL CALIFORNIA,info@parkhotelcalifornia.it  ,Pisa,Pi
HOTEL RELAIS DELL'OROLOGIO,info@hotelrelaisorologio.com ,Pisa,Pi
GRAND HOTEL CONTINENTAL,info@grandhotelcontinental.it,Tirrenia,Pi
GREEN PARK RESORT,info@greenparkresort.com,Tirrenia,Pi
HOTEL FLORIDA TIRRENIA,"info@hotelfloridatirrenia.com, ",Tirrenia,Pi
GRAND HOTEL GOLF,info@grandhotelgolf.it,Tirrenia,Pi
BEVERLY PARK RESIDENCE,info@beverlypark.it,Tirrenia,Pi
HOTEL MEDUSA,info@hotelmedusa.com ,Tirrenia,Pi
CONTINENTAL RESORT,info@continentalresort.it,Tirrenia,Pi
RESORT REGINA DEL MARE,info@resortreginadelmare.com,Calambrone,Pi
HOTEL MANZI, info@hotelmanzi.it  ,Marina di Pisa,Pi
Totale N. 31,,,
,,,
STRUTTURE LIVORNO,,,
MAX HOTEL LIVORNO,livorno@maxhotels.it ,Livorno,Li
PARKING HOTEL GIARDINO,hotelgiardino.li@gmail.com,Livorno,Li
GRAND HOTEL PALAZZO,info@grandhotelpalazzo.it ,Livorno,Li
HOTEL ARISTON,info@hotelaristonlivorno.com ,Livorno,Li
GIAPPONE INN PARKING HOTEL,hotelgiappone@hotellivorno.com ,Livorno,Li
HOTEL ATLETI, info@hotelatleti.com ,Livorno,Li
HOTEL GENNARINO,info@hotelgennarino.it ,Livorno,Li
HOTEL REX,info@hotelrex.it,Livorno,Li
HOTEL GRAN DUCA,granduca@granduca.it ,Livorno,Li
HOTEL NAVY, info@hotelnavy.it ,Livorno,Li
HOTEL STAZIONE,info@hotelstazionelivorno.it,Livorno,Li
HOTEL MEDITERRANEO,prenotazioni@hmlivorno.it,Livorno,Li
HOTEL BOSTON,info@bostonh.it,Livorno,Li
Totale N. 13,,,
,,,
STRUTTURE SIENA,,,
HOTEL LA COLONNA,info@hotellacolonnasiena.it  ,Siena,Si
HOTEL GARDEN,info@gardenhotel.it ,Siena,Si
HOTEL CHIUSARELLI,info@chiusarelli.com ,Siena,Si
HOTEL SCACCIAPENSIERI,info@villascacciapensieri.it  ,Siena,Si
HOTEL MODERNO,info@hotelmodernosiena.it,Siena,Si
HOTEL ITALIA,info@hotelitalia-siena.it ,Siena,Si
SAN GALLO PARK HOTEL,info@sangalloparkhotel.it,Siena,Si
PALAZZO RAVIZZA,bureau@palazzoravizza.it ,Siena,Si
HOTEL DUOMO, booking@hotelduomo.it ,Siena,Si
CERTOSA DI MAGGIANO,info@certosadimaggiano.it ,Siena,Si
HOTEL IL GIARDINO,info@hotelilgiardino.it ,Siena,Si
L'AIA COUNTRY HOLIDAYS, info@sienaholidays.com ,Uopini,Si
ALBERGO CANNON D'ORO,info@cannondoro.com,Siena,Si
VILLA ELDA, info@villaeldasiena.it ,Siena,Si
VILLA LIBERTY,info@villaliberty.it  ,Siena,Si
GRAND HOTEL CONTINENTAL, reservation.continental@royaldemeure.com  ,Siena,Si
HOTEL CASOLARE TERRE ROSSE, info@hotelterrerosse.com ,San Gimignano,Si
RELAIS S. CHIARA HOTEL,rsc@rsc.it ,San Gimignano,Si
RELASI CAPPUCCINA, info@lacappuccina.com ,San Gimignano,Si
HOTEL SOGGIORNO,info@hotelbelsoggiorno.it,San Gimignano,Si
LA CISTERNA, info@hotelcisterna.it  ,San Gimignano,Si
LEON BIANCO,info@leonbianco.com ,San Gimignano,Si
HOTEL SAN MICHELE,info@sanmichelehotel.it ,San Gimignano,Si
VILLA DUCCI,  info@villaducci.com ,San Gimignano,Si
HOTEL PESCILLE,info@pescille.it,San Gimignano,Si
B&B S.GIMIGNANO DIFFUSO,info@rossicarla.it ,San Gimignano,Si
HOTEL LA COLLEGIATA,info@lacollegiata.it ,San Gimignano,Si
CASTELLO DI VELONA,info@ehc.it ,Montalcino,Si
HOTEL DEI CAPITANI,info@deicapitani.it  ,Montalcino,Si
CASTIGLION DEL BOSCO,reservation@castigliondelbosco.com  ,Montalcino,Si
PALAZZO DEL CAPITANO RELAIS ,info@palazzodelcapitano.com ,San Quirico D'orcia,Si
HOTEL PALAZZUOLO,info@hotelpalazzuolo.it,San Quirico D'orcia,Si
ETRURIA RESORT & NAT. SPA,info@etruriaresort.it ,Montepulciano,Si
VILLA POGGIANO,info@villapoggiano.com  ,Montepulciano,Si
HOTEL SAN MARCO,info@sanmarcosiena.it,Siena,Si
HOTEL ORSTERIA DELL'ORCIA,"info@osteriadellorcia.com, ",Castiglione D'Orcia,Si
MY ONE HOTEL RADDA,radda@myonehotel.it ,La Calvana/ Radda in Chianti,Si
VILLA CAMPOMAGGIO,info@villacampomaggio.it ,Campomaggio/ Radda in Chianti,Si
CASTELLO DI SPALTENNA, info@spaltenna.it ,Pieve di Spaltenna/ Gaiole in Chianti,Si
RELAIS VIGNALE,vignale@vignale.it ,Radda in Chianti,Si
BELVEDERE SAN LEONINO,info@hotelSan Leonino.com ,San Leonino/Castellina in Chianti,Si
BORGO GALLINAIO, info@gallinaio.it ,Monteriggioni,Si
ROMANTIK HOTEL,info@hotelmonteriggioni.com,Monteriggioni,Si
HOTEL LE FONTANELLE,info@hotelfontanelle.com,Pianella,Si
HOTEL BORGO SAN FELICE,info@borgosanfelice.it  ,Castelnuovo Berardenga,Si
MONTAPERTI HOTEL,info@montapertihotel.com,Casetta/ Castelnuovo Bardenga,Si
Totale N. 46,,,
,,,
STRUTTURE MARE,,,
VERSILIA,,,
GRAND HOTEL IMPERIALE, info@grandhotelimperiale.it ,Forte dei Marmi,Lu
LOGOS HOTEL,info@logoshotel.it,Forte dei Marmi,Lu
HOTEL SAN MAURITIUS,info@stmauritiushotel.com,Forte dei Marmi,Lu
HOTEL IL NEGRESCO,info@hotelilnegresco.com  ,Forte dei Marmi,Lu
HOTEL PRINCIPE (FORTE),reservations@principefortedeimarmi.com,Forte dei Marmi,Lu
GRAND HOTEL,booking@bluhotels.it ,Forte dei Marmi,Lu
CALIFORNIA PARK HOTEL,booking@californiaparkhotel.com ,Forte dei Marmi,Lu
PRESIDENT HOTEL,info@presidentforte.it,Forte dei Marmi,Lu
HOTEL MIRABEAU,info@hotelmirabeau.it,Forte dei Marmi,Lu
HOTEL RITZ FORTE DEI MARMI,info@ritzfortedeimarmi.com,Forte dei Marmi,Lu
HOTEL GOYA,info@hotelgoya.it ,Forte dei Marmi,Lu
HOTEL AREION,info@hotelareion.com,Forte dei Marmi,Lu
VERSILIA HOLIDAYS,info@versiliaholidays.it,Forte dei Marmi,Lu
HOTEL CENTRAL PARK,info@centralparkversilia.it ,Marina di Pietrasanta,Lu
HOTEL SAVOY,booking@albergosavoy.com,Marina di Pietrasanta,Lu
ZEN HOTEL VERSILIA, info@zenhotelversilia.com ,Marina di Pietrasanta,Lu
VILLA ARISTON,info@villaariston.it ,Lido di Camaiore,Lu
UNA HOTEL VERSILIA,una.versilia@unahotels.it ,Lido di Camaiore,Lu
HOTEL EUROPA,info@hoteleuropaversilia.it,Lido di Camaiore,Lu
HOTEL BIXIO,info@hotelbixio.it,Lido di Camaiore,Lu
PARK HOTEL,info@tuscanyparkhotel.it ,Lido di Camaiore,Lu
HOTEL BRACCIOTTI,info@hotelbracciotti.com,Lido di Camaiore,Lu
HOTEL LA PALMA,info@hotelapalma.it  ,Lido di Camaiore,Lu
GRAND HOTEL RIVIERA,info@grandhotelriviera.it ,Lido di Camaiore,Lu
HOTEL EUR,info@hoteleur.it,Lido di Camaiore,Lu
HOTEL ESPLANADE,info@hotelresidenceesplanade.it ,Viareggio,Lu
HOTEL MARCHIONNI,info@hotelmarchionni.com ,Viareggio,Lu
HOTEL ASTOR,reservationsvi@sinahotels.com ,Viareggio,Lu
PRINCIPE DI PIEMONTE, info@principedipiemonte.com ,Viareggio,Lu
PALACE HOTEL, info@palaceviareggio.com ,Viareggio,Lu
HOTEL LONDON,info@hotellondon.it,Viareggio,Lu
HOTEL EDEN,info@hoteleden-viareggio.it ,Viareggio,Lu
HOTEL LIBERTY,hotelliberty@viareggio.it,Viareggio,Lu
HOTEL PLAZA DE RUSSIE,info@plazaederussie.com,Viareggio,Lu
HOTEL GARDEN, info@hotelgardenviareggio.it ,Viareggio,Lu
HOTEL SAN FANCISCO,info@sanfranciscoviareggio.it,Viareggio,Lu
HOTEL TAHITI,info@hoteltahiti.it ,Viareggio,Lu
GRAND HOTEL ROYAL,info@hotelroyalviareggio.it,Viareggio,Lu
HOTEL PRESIDENT,info@hotelpresident.it ,Viareggio,Lu
Totale N. 39,,,
,,,
Castiglioncello/Argentario,,,
HOTEL ATLANTICO,info@hotelatlantico.it,Castiglioncello/Rosignano Marittimo,Li
HOTEL LEOPOLDO, hotelleopoldo@tin.it ,Castiglioncello/Rosignano Marittimo,Li
HOTEL TIRRENO,info@hoteltirreno.info ,Castiglioncello/Rosignano Marittimo,Li
ROSA DEI VENTI, info@residencerosadeiventi.it ,Vada,Li
HOTEL IL PONTE,info@hotelilponte.com ,Cecina,Li
HOTEL SILEONI,staff@hotelsileoni.it,Marina di Cecina,Li
VILLAGGIO LA CECINELLA,info@lacecinella.com ,Marina di Cecina,Li
HOTEL TORNESE,info@hoteltornese.com ,Marina di Cecina,Li
ANTICO BORGO SAN MARTINO,info@anticoborgosanmartino.it,San Martino Riparbella,Pi
I LECCI PARK HOTEL,booking@bluhotels.it ,San Vincenzo,Li
SABBIA D'ORO,info@hotel-sabbiadoro.it ,San Vincenzo,Li
HOTEL VILLA LO SCOGLIETTO,info@scoglietto.com ,San Vincenzo,Li
HOTEL ESPERIA, info@hotelristoranteesperia.it ,Piombino,Li
HOTEL EST,info@hotelest.net,Piombino,Li
HOTEL TERME VENTURINA,info@hterme.it  ,Venturina/Campiglia Marittima,Li
BELLA' MBRIANA,info@hotelfollonica.it ,Follonica,Gr
GOLFO DEL SOLE,info@golfodelsole.it ,Follonica,Gr
VILLAGGIO IL GIRASOLE,info@villaggioilgirasole.it ,Follonica,Gr
CAV APPRODO, info@approdo.it   ,Castiglione della Pescaia,Gr
HOTEL L'APPRODO, info@approdo.it   ,Castiglione della Pescaia,Gr
ALBERGO ROSSELLA,info@albergorossella.it ,Castiglione della Pescaia,Gr
ALBERGO FILIPPO II,info@filipposecondo.it ,Porto S. Stefano/Monte Argentario,Gr
HOTEL TORRE DI CALA PICCOLA,info@torredicalapiccola.com ,Porto S. Stefano/Monte Argentario,Gr
BAIA D'ARGENTO,info@baiadargento.com ,Porto S. Stefano/Monte Argentario,Gr
VILLA SMERALDO,info@villasmeraldo.com ,Orbetello,Gr
VILLA AMBRA,info@hotelvillaambra.com ,Orbetello,Gr
HOTEL LA CALETTA,info@hotelcaletta.it,Porto S. Stefano/Monte Argentario,Gr
SAN BIAGIO RELAIS,info@sanbiagiorelais.com ,Orbetello,Gr
ARGENTARIO GOLF RESORT,info@argentariogolfresortspa.it ,Porto Ercole/Monte Argentario,Gr
PARK HOTEL RESIDENCE,info@parkhotelresidence.com ,Orbetello,Gr
A POINT PORTO ERCOLE,reservations@apointportoercole.com ,Porto Ercole/Monte Argentario,Gr
Totale N. 32,,,
,,,
ISOLA D'ELBA,,,
HOTEL DEL GOLFO,info@hoteldelgolfo.it,Marciana Marina/ Isola d'Elba,Li
HOTEL LA PERLA DEL GOLFO,info@laperladelgolfo.it ,Procchio/Isola d'Elba,Li
HOTEL PARADISO, paradiso@elbaturistica.it ,Portoferraio/Isola d'Elba,Li
GRAND HOTEL ELBA INTERN.,info@elbainternational.it,Capoliveri/Isola d'Elba,Li
IL MAGNIFICO DE LUXE RESORT,info@ilmagnificodeluxeresort.com ,Marciana Marina/ Isola d'Elba,Li
HOTEL ACQUAMARINA, info@hotelacquamarina.it ,Portoferraio/Isola d'Elba,Li
HOTEL MARINELLA,info@elbahotelmarinella.it ,Marciana Marina/ Isola d'Elba,Li
HOTEL AIRONE,airone@tivigest.com,Portoferraio/Isola d'Elba,Li
HOTEL VILLA OMBROSA, info@villaombrosa.it ,Portoferraio/Isola d'Elba,Li
HOTEL BIODOLA,info@biodola.it,Portoferraio/Isola d'Elba,Li
HOTEL VILLA OTTONE,hotel@villaottone.com,Portoferraio/Isola d'Elba,Li
HOTEL VILLA PADULELLA,info@hotelvillapadulella.it,Portoferraio/Isola d'Elba,Li
HOTEL TAMERICI,info@tamerici.it ,Marciana Marina/ Isola d'Elba,Li
HOTEL MARE,hotel.mare@elba-on-line.com,Portoferraio/Isola d'Elba,Li
HOTEL & RESORT LACONA, info@hotellacona.it ,Lacona/Isola d'Elba,Li
HOTEL & RESIDENCE LE ACACIE,info@acacie.it,Capoliveri/Isola d'Elba,Li
ELBAMAR LACONA,cristina@tesiviaggi.it,Lacona/Isola d'Elba,Li
RELAIS DELLE PICCHIAIE,mail@relaisdellepicchiaie.it ,Portoferraio/Isola d'Elba,Li
HOTEL SCOGLIO BIANCO,info@scogliobianco.it,Portoferraio/Isola d'Elba,Li
Totale N. 19,,,
,,,
,,,
TOTALE STRUTTURE N. 292,,,
