email,nome,cognome,nome_azienda
info@sangallopalace.it,,,San Gallo Palace
info@lacortedeipapi.com,,,Relais La Corte Dei Papi
info@hotel-lapergola.it,,,La Pergola
booking@parkhotelnapoleone.it,,,Park Hotel Napoleone
admiral@albanesihotels.com,,,Grand Hotel Admiral Palace
info@hotelnapoleon.net,,,Napoleon
info@hoteladlercavalieri.com,,,Adler Cavalieri
bristolhotel@tiscalinet.it,,,Bristol
info@hotelexecutive.it,,,Executive
info@hoteldelfinomarinadicarrara.com,,,Hotel Residence Delfino
booking@hotel-balestri.it,,,Balestri
info@villaggioilgirasole.it,,,Villaggio Villaggio Il Girasole
lamassa@relaischateaux.com,,,Villa La Massa
hotelindicatore@tiscali.it,,,Indicatore
albergoilpalazzetto@libero.it,,,Hotel Il Palazzetto
albergoverdeluna@aim.com,,,Verde Luna
anforahotel@tiscalinet.it,,,Hotel Anfora di Di Biagio M. e C. Snc
info@hotellory.net,,,Lory
info@hoteldaisy.it,,,Hotel Daisy
info@castellodelnero.com,,,Hotel Castello Del Nero
euro@myonehotel.it,,,My One Hotel Euro
info@hotelriomarina.it,,,Rio
mediterraneo@taddeihotels.it,,,Mediterraneo
info@villareggia.com,,,Hotel Villa La Reggia
info@hotelstclaire.com,,,Residence Saint Claire
info@hoteldannunzio.com,,,Palazzo Ognissanti
reservation.ghc@royaldemeure.com,,,G.h. Continental
info@frankshotel.com,,,Hotel Frank's
info@parkingiardinohotel.it,,,Albergo Giardino
info@cortonastorica.com,,,Hotel Sabrina
hotel-edy@libero.it,,,Hotel Edy
info@hotelilaria.com,,,Hotel Ilaria Srl
info@hotelcastelmartini.it,,,Hotel Castelmartini
cristallo@elbalink.it,,,Cristallo
info@hvittoria.com,,,Vittoria
info@nilhotel.it,,,Nilhotel
arthotel@texnet.it,,,Hotel Art Museo
info@hotelhp.it,,,Hotel Planet
htlguastini@katamail.com,,,Guastini
hm.carrara@tin.it,,,Michelangelo
olimpia@versilia.toscana.it,,,Olimpia
hotel.villajessica@libero.it,,,Hotel Villa Jessica
hotel@margheritahotel.com,,,Hotel Ristorante Margherita
info@sanmarco-hotel.it,,,San Marco
albergo.augusto@tiscali.it,,,Da Augusto
info@hotelely.it,,,Hotel Ely
info@hotelerina.it,,,Hotel Erina
info@elbahotelvalleverde.it,,,Valle Verde
htlapace@tin.it,,,Grand Hotel La Pace
dimoralucense@libero.it,,,Alla Dimora Lucense di Rosanna Scicchitano
thghiberti@tiscali.it,,,Hotel Tourist House Ghiberti di Baroni Claudio
hotel.ilpino@alice.it,,,Il Pino
fernando@toscanaitaly.com,,,Hotel Villa Tavolese
vespucci.fi@starhotels.it,,,Starhotels Vespucci
info@hoteldavanzati.it,,,Hotel Davanzati
patrizia@tin.it,,,Hotel Patrizia
hotel.villa.belvedere@tin.it,,,Hotel Villa Belvedere
info@hotelildiario.it,,,Hotel Il Diario
info@hotelrelaisorologio.com,,,Relais Dell'orologio
info@regency-hotel.com,,,Regency
fdzmontepulciano@hotmail.it,,,Istituto Figlie Del Divino Zelo
info@piccolohotelaurora.com,,,Piccolo Hotel Aurora
info@villaaurea.it,,,Hotel Villa Aurea
info@albergostellamaris.com,,,Stella Maris
info@michelahotel.com,,,Michela
info@vescine.it,,,Il Borgo di Vescine
hotelsilla@hotelsilla.it,,,Hotel Silla
info@hotelpierolli.it,,,Pierolli
info@hotelpalagi.191.it,,,Palagi
hotelariston@pisaonline.it,,,Hotel Ariston - Pisa
rsc@rsc.it,,,Relais Santa Chiara
info@grandhotelboston.it,,,Grand Hotel Boston
info@hotelsweb.it,,,Hotels Promotion
info@relaispoggiodelmelograno.com,,,Relais Poggio Del Melograno
info@bridge-hotel.it,,,Bridge Hotel
info@hotelabas.it,,,Hotel Abas
info@ilpiccolocastello.com,,,Il Piccolo Castello
info@edenparkpisa.com,,,Eden Park Resort
info@villagiada.com,,,Hotel Villa Giada
info@hotelbyron.net,,,Byron
info@levecchiecantine.it,,,Le Vecchie Cantine Sas
info@presidentmontecatini.it,,,President Hotel
info@hotelsanniccolo.com,,,Palazzo San Niccolò
info@albergocasanova.com,,,Villa Casanova
info@sorgenteroveta.it,,,Hotel Sorgente Roveta
info@villalacappella.net,,,Villa La Cappella
info@lebriciole.it,,,Hotel Le Briciole
info@campingmiramare.it,,,Camping Villaggio Miramare
info@hotelgiada.it,,,Hotel Giada
lacappella@leonet.it,,,Hotel Residence Villa La Cappella
info@hotel-aurora-mare.com,,,Aurora
info@relaissanlorenzo.it,,,Hotel Relais S. Lorenzo
info@goldentowerhotel.it,,,Hotel Golden Tower
info.garibaldi@libero.it,,,Garibaldi's Hotel Relais Et Char
info@parrinihotel.com,,,Parrini
info@lacontessina.it,,,Residence La Contessina Srl
info@hotelcaravaggio.it,,,Caravaggio
info@hotelmarchionni.com,,,Marchionni
info@hotelspinelli.it,,,Spinelli
info@hotelsanmarcofirenze.it,,,Azzurra Srl Hotel San Marco
hermitage@versilia.toscana.it,,,Hermitage
res.florencemetropole@hilton.com,,,Hilton Florence Metropole
info@fortino.it,,,Il Fortino Srl
villalebarone@libero.it,,,Villa Le Barone
hotelvaldinievole_mt@alice.it,,,Hotel Valdinievole
info@hotelacquamarina.it,,,Acquamarina
info@albergomartini.it,,,Albergo Martini
info@hotelportavaldera.it,,,Porta Valdera
info@hotelroby.net,,,Hotel Roby
info@risorgimentohotel.com,,,Hotel Risorgimento
lacasadiugo1@alice.it,,,La Locanda di Ugo
h3728@accor.com,,,Ibis Firenze Nord Aeroporto
info@hotellapace.it,,,Albergo La Pace di Romanelli A. & A. Snc
info@albergosavoy.com,,,Savoy
spa@grandhotellapace.it,,,Grand Hotel & La Pace Spa
info@hotelhermitagebibbona.com,,,Hermitage
info@marystella.it,,,Hotel Marystella
aristearta@live.it,,,Aristea
info@hotelbellariviera.it,,,Hotel Bella Riviera
hotelber@tin.it,,,Albergo Bernardino
info@hotellatorricella.it,,,Hotel La Torricella
info@tiffany-hotel.it,,,Tiffany
info@caladimola.it,,,Cala di Mola Hotel e Residence
info@palazzoguiscardo.it,,,Palazzo Guiscardo
hedera@elbalink.it,,,Hotel Edera
info@hotelbambolo.com,,,Residence Bambolo
info@grandhotelchianciano.it,,,Grand Hotel
info@arezzoparkhotel.com,,,Arezzo Park Hotel
le4pietre@tamtam.it,,,Hotel Le Quattro Pietre
info@hotelbasilewsky.com,,,Villa Basilewsky
info@hotelautopark.com,,,Auto Park Hotel
albergosanluca@technet.it,,,San Luca
hotelsilla@tin.it,,,Hotel Silla
hotel@poseidon.it,,,Poseidon
panoramaalbergo@tiscali.it,,,Hotel Panorama
villa.ambra@tiscalinet.it,,,Hotel Villa Ambra
info@florenceresidence.it,,,Palazzo Mannaioni
info@hotelbyron.it,,,La Magnolia
info@ilpoggetto.it,,,Hotel Ristorante Il Poggetto
sangallohotel@sangallohotel.it,,,Sangallo
info@hotelellymar.com,,,Hotel Ellymar
fedecec@tiscalinet.it,,,Prati
info@loggiatodeiservitihotel.it,,,Loggiato Dei Serviti
hotel.alba@firenzealbergo.it,,,Alba
info@villaombrosa.it,,,Acquamarina
info@hotel-aurora-firenze.it,,,Aurora
albergopuntaala@inwind.it,,,Albergo Punta Ala
alpino@bargaholiday.com,,,Hotel Ristorante Alpino
albergobartolini@virgilio.it,,,Bartolini
info@villacastelletti.it,,,Hotel Borgo Villa Castelletti
hotel@hotel-lapergola.com,,,La Pergola
info@hoteltonfoni.it,,,Hotel Tonfoni e Mafalda
info@allacortedegliangeli.com,,,Alla Corte Degli Angeli
info@hotelkadampaitaly.com,,,Kadampa
info@hotelpostamarcucci.it,,,Posta Marcucci
info@anticaresidenzacicogna.it,,,Antica Residenza Cicogna
info@baiadelsorriso.com,,,Baia Del Sorriso
info@agrihotel-elisabetta.it,,,Agrihotel Elisabetta
info@gaudiadayspa.it,,,Gaudia Day Spa
info@hotel-marzia.it,,,Hotel Marzia
karenvh@tin.it,,,Borgo di Villa Castelletti Residence
info@augustus-hotels.it,,,Augustus
hbernin@tin.it,,,Albergo Bernini
una.vittoria@unahotels.it,,,Una Hotel Vittoria
info@hotelalba.org,,,Alba
info@villargentieri.net,,,Villa Argentieri Sas
nhexcelsior@nh-hotels.com,,,Jolly Hotel Excelsior
info@hotelhermitageprato.it,,,Hermitage Snc
dacarlino@dacarlino.it,,,Da Carlino
info@termesanfilippo.it,,,Hotel Terme San Filippo
info@hotel-belsoggiorno.com,,,Bel Soggiorno
albergoexcelsior@abetone.com,,,Excelsior
info@hotel-ida.com,,,Hotel Ida - Ristorante Da Pietron
info@hotelvillarita.com,,,Hotel Villa Rita
htldeco@data.it,,,Hotel Deco
info@hotellorena.com,,,Hotel Lorena
hotelcecile@virgilio.it,,,Hotel Cecile Romanelli Maurizio & C. Snc
info@locandanelcassero.com,,,Locanda Nel Cassero
info@residencesanrossore.it,,,Residence San Rossore
welcome@hotelmorandi.it,,,Morandi Alla Crocetta
info@hotellatorre.pisa.it,,,La Torre
info@hotelariston.toscana.it,,,Ariston
info@ghmilano.it,,,Grand Hotel Milano
info@hotelmirageviareggio.it,,,Mirage
info@hotel-dino.it,,,Ristorante Hotel Dino
info@primavera-hotel.it,,,Primavera
info@promhotels.it,,,Florence Promhotels - Centro Prenotazioni Alberghi
info@hotelvillabonelli.com,,,Villa Bonelli
hotelcapitol@pisaonline.it,,,Capitol
info@albergostipino.it,,,Stipino
info@hotelmarinetta.it,,,Marinetta
hotelvilladellerose@tin.it,,,Hotel Villa Delle Rose
info@hotelmedici.it,,,Hotel Medici
piercastello@libero.it,,,Hotel Il Castello
info@hotelgalli.it,,,Hotel Galli
info@hoteltornese.it,,,Tornese
reservations.savoy@roccofortecollection.com,,,Savoy
info@albergoilcacciatore.it,,,Il Cacciatore
hoteldelgolfo@elbalink.it,,,Del Golfo
info@hoteltrecastelli.com,,,Hotel Ristorante Tre Castelli
info@hotel-labussola.com,,,La Bussola
info@westflorencehotel.it,,,West Florence
info@lerose.it,,,Hotel Le Rose
info@hotelvillasanmichele.com,,,Hotel Villa San Michele
info@hotelbelsoggiorno.it,,,Hotel Bel Soggiorno
info@albergoroberta.it,,,Albergo Roberta
info@anticocasalediscansano.it,,,Hotel Antico Casale di Scansano
info@lalocanda.it,,,La Locanda
giovanna@technet.it,,,Hotel Da Giovanna
info@villabetania.it,,,Hotel Villa Betania
hotelabas@tin.it,,,Hotel Abas
info@hotelatleti.com,,,Atleti
info@hotelrivoli.it,,,Rivoli
firenze@webhoteleuropa.com,,,Hotel Europa
info@hotelviscardo.it,,,Hotel Viscardo
info@casanova-laripintura.it,,,Azienda Agricola Casa Nova
info@albergosella.it,,,Sella
info@hotelportaromana.com,,,Hotel Porta Romana Sas di Masignani Anna & C.
info@caffedeicavalieri.it,,,La Locanda di Anita & Caffè Dei Cavalieri
bureau@palazzoravizza.it,,,Hotel Palazzo Ravizza
info@hotelvictoriaflorence.com,,,Hotel Victoria
info@hotelmaita.it,,,Hotel Maita
info@hotelariele.it,,,Ariele
info@relaisvillaacquaviva.com,,,Hotel Villa Acquaviva
benessere@hotelmanzoni.info,,,Hotel Manzoni
info@rosmarina.it,,,Rosmarina
grandhotelduomo@pisaonline.it,,,Grand Hotel Duomo - Pisa
vallombrosina@fionline.it,,,Villa Ambrosina
hotelderna@hotmail.com,,,Hotel Derna
info@hoteldatini.com,,,Hotel Datini
info@hotelpardini.com,,,Hotel Pardini
info@albergofiorentino.com,,,Albergo Fiorentino
info@calzaiuoli.it,,,Hotel Calzaiuoli Srl
info@pensionetrusco.it,,,L'etrusco
elios@elbalink.it,,,Isola D'elba Alberghi Vacanze
info@prategiano.com,,,Rifugio Prategiano
info@hotelbuongustaio.it,,,Hotel Il Buongustaio
info@hotelicedri.it,,,I Cedri
info@mariluhotel.com,,,Marily
info@laversiliana.net,,,Casa Per Ferie La Versiliana
info@hotelraffaello.si.it,,,Hotel Raffaello
info@montecatinihotelbiondi.it,,,Aquila D'oro
leterrazze@dinonet.it,,,Le Terrazze
info@hotel-minerva.it,,,Minerva
info@villanettuno.it,,,Villa Nettuno
info@hotelpatria2000.it,,,Patria
continentale@abd.it,,,Hotel Continentale
info@hotelhermitage.it,,,Hermitage
info@casavestri.it,,,Casa Vestri
info@hotelsanlino.com,,,Hotel San Lino
raffael@texnet.it,,,Hotel Raffaello
info@italycongress.com,,,Fattoria La Principina
hotelcavour@hotelcavour-livorno.it,,,Cavour
info@rivadeglietruschi.it,,,Riva Degli Etruschi
resort@lebbianoresidence.com,,,Residence Lebbiano
info@ilgineprino.it,,,Camping Villaggio Il Gineprino
info@hotelvicusmajor.com,,,Hotel Vicus Major
info@hotelvaldarno.net,,,Valdarno
hotelbrasile@alice.it,,,Hotel Brasile
arnolfo@publiterme.it,,,Arnolfo
info@hotellalanterna.com,,,Albergo La Lanterna
info@hoteliris.net,,,Hotel Iris
info@villabelpoggio.it,,,Relais Villa Belpoggio
deliziagenovesehotel@infinito.it,,,Delizia Genovese
info@biodola.it,,,Hotel Biodola Srl
info@villamorazzana.it,,,Villa Morazzana Srl
mail@royalvictoria.it,,,Royal Victoria Hotel
laterrazzadimontepulciano@libero.it,,,Hotel La Terrazza
info@leresidenzegallodoro.it,,,Le Residenze Del Gallodoro
info@ristorantelatini.com,,,Hotel Latini
hotel.risorgimento@libero.it,,,Risorgimento
info@miralaghi.it,,,Miralaghi
sabiagianluca@hotmail.com,,,Splendid
hotelmilano@interfree.it,,,Milano
info@lamagione.it,,,Hotel La Magione
hotelnettuno@telematicaitalia.it,,,Nettuno
info@hoteldemos.com,,,Hotel Demo's
info@villamaya.it,,,Villa Maya
info@hotelgiardinobibbiena.com,,,Hotel Giardino
info@hotelpiccolomondo.net,,,Piccolo Mondo
hotelermione@virgilio.it,,,Ermione
select@albahotel.it,,,Hotel Select
info@borgosanluigi.it,,,Borgo San Luigi
info@castelletto.it,,,Castelletto di Montebenichi
granduca@granduca.it,,,Hotel Gran Duca Srl
info@davidhotel.com,,,Hotel David
info@hotelkristal.it,,,Hotel Kristal
info@plazaederussie.com,,,Plaza e De Russie
villaotto@elba2000.it,,,Villa Ottone Hotel Srl
info@hotel-lido.com,,,Hotel Lido
info@albergolaforesta.eu,,,Hotel La Foresta
info@ilborghetto.it,,,Hotel Il Borghetto
oasi@servizire.it,,,Servizi Re Srl
pierre@remarhotels.com,,,Pierre
info@fetovaia.it,,,Hotel & Accomodation Isola D'elba
info@hotelrombino.it,,,Hotel Rombino
info@hotelselectelba.it,,,Select
info@grandealbergofortuna.it,,,Grande Albergo Fortuna
info@hotelcarrara.it,,,Hotel Carrara
info@palazzobenci.com,,,Hotel Palazzo Benci
info@albergosanmartino.it,,,San Martino
massimo.bigini@gmail.com,,,Isa Hotel
info@grandhotelriviera.it,,,Grand Hotel & Riviera
bambaissa@augustus-hotel.it,,,Augustus - Lido
info@hotelnapoleonlucca.com,,,Napoleon
info@villamarsili.net,,,Villa Marsili
dante@anticaposta.net,,,Hotel Antica Posta di Pelacani Dante
info@hoteldany.com,,,Hotel Dany
anna@residenzagiulia.com,,,Residenza Giulia di Moreno Torrini
info@versiliaholidays.com,,,Versilia Holidays Hotel
lalucciola@lalucciola.com,,,La Lucciola
giardino@pisaonline.it,,,Hotel Giardino Emiliano - Pisa
hotellapace@pisaonline.it,,,Hotel La Pace - Pisa
mailbox@hotelcrystal.it,,,Hotel Crystal di Soc. Progest Elba Srl
fleming@vivahotels.com,,,Hotel Fleming
info@hotelfirenze.net,,,Hotel Firenze
h.italia@tin.it,,,Hotel Italia
info@lacappuccina.com,,,Hotel Relais La Cappuccina
info@hotellapacefortedeimarmi.it,,,Hotel La Pace
info@hotelmaestoso.it,,,Maestoso
baiablu@elbalink.it,,,Baia Blu
info@albergolecolline.com,,,Le Colline
info@hotelmarelba.it,,,Hotel Marelba
info@ilbassetto.it,,,Bar Ristorante Pizzeria Albergo Bassetto Srl
info@piccadillyhotel.it,,,Piccadilly
info@lapinetacravilla.com,,,La Pineta
info@hoteltoscana.prato.it,,,Hotel Toscana
hotelliberty@viareggio.it,,,Liberty
info@vecchiamaremma.it,,,Hotel Vecchia Maremma
hotelchianciano@libero.it,,,Chianciano
info@hotelimperia.it,,,Hotel Imperia
parkhotel@parkhotelarezzo.com,,,Park Hotel
info@berchielli.it,,,Berchielli Spa
ggorac@tin.it,,,Aurora
info@elba-hotelbelmare.it,,,Belmare
info@residenzadepoca.it,,,Residenza D'epoca Palazzo Fani - Mignanelli
info@villasanpaolo.com,,,Villa San Paolo
info@elbahotelcasanova.it,,,Casanova
info@hotelcristallosrl.it,,,Hotel Cristallo
mail@oliveta.com,,,Hotel Piccolo Hotel Oliveta
info@hotelpatio.it,,,Patio
info@montebellosplendid.com,,,Montebello Splendid
info@frantoiomaddii.it,,,Al Frantoio
info@hotel-elba.it,,,Elba
albergo@rifugiodagiulia.it,,,Albergo Rifugio Da Giulia
info@hotel-park.it,,,Park
info@itamerici.it,,,I Tamerici
hoteldante@hotel-dante.it,,,Hotel Dante
info@portole.it,,,Portole
hotelletizia@technet.it,,,Hotel Letizia
info@hotellacona.it,,,Hotel Lacona
info@poderesantostefano.it,,,Podere Santo Stefano
info@hotelinnocenti.it,,,Innocenti
reservation@arthotel-milano.it,,,Art Hotel Milano
info@bencista.com,,,Bencistà
info@meridiana-hotel.it,,,Hotel Meridiana
info@albergoginevra.it,,,Ginevra
ilcasato@hotelrooms.it,,,Centrotel Srl
mailbox@villalerondini.it,,,Villa Le Rondini
info@albergo-florida.it,,,Hotel Florida di Ristorante Corsaro Verde Sas
info@hotelbrunelleschi.it,,,Hotel Brunelleschi Gest. Binfi Spa
info@hotelrosignano.it,,,Piccolo Hotel
paradiso@elbaturistica.it,,,Paradiso
beb.alcastellaccio@alice.it,,,Al Castellaccio
giappone@luda.it,,,Hotel Giappone Inn
info@valledelbuttero.it,,,Valle Del Buttero
albergosanpaolo@simail.it,,,Hotel Pieve S. Paolo
info@ilconventohotel.com,,,Il Convento
info@hotelrosati.it,,,Rosati
booking@embassyhotel.it,,,Embassy Hotel
casabianca@casabianca.it,,,Hotel Borgo Casabianca
hotelmiramonte@hotelmiramonte.it,,,Miramonte
albergobertolini@yahoo.it,,,Hotel Bertolini
info@hoteldemidoff.com,,,Demidoff Hotel
deicapitani@tin.it,,,Dei Capitani
info@arcadipienza.it,,,Albergo Arca di Pienza
info@albergo-belvedere.com,,,Belvedere
borgofelice@relaischateaux.com,,,Hotel Relais Borgo San Felice
info@conventosantachiara.it,,,Residenza Santa Chiara
info@anticocasalediscansano.com,,,Antico Casale di Scansano
info@hotelalma.com,,,Alma
info@varovillage.com,,,Varo Village
info@hoteldelletele.it,,,Delle Tele
albergoillago@alice.it,,,Il Lago
info@empolihotel.com,,,Empoli Hotel
info@locanda-laluna.it,,,Locanda La Luna
info@borgosanfelice.it,,,Hotel Borgo San Felice
info@sanlucacortona.com,,,Albergo San Luca
hotelverdi@sirius.pisa.it,,,Verdi
info@pensioneroma.it,,,Roma
info@hotelest.net,,,Hotel Est
info@villaigiullari.it,,,Villa I Giullari
info@albergotrestelle.it,,,Hotel Tre Stelle
info@hotel2mari.com,,,Hotel 2 Mari
info@villalavedettahotel.com,,,Villa La Vedetta
info@holidaymontecatini.com,,,Hotel Holiday
info@hoteldelapace.it,,,Hotel De La Pace
florence@hermitagehotel.com,,,Hotel Hermitage
info@hotelpatrizia.net,,,Patrizia
iltegolo@leonet.it,,,Il Tegolo
info@tombolotalasso.it,,,Tombolo Talasso Resort
info@parkhotelchianciano.it,,,Park Hotel
info@sanmichelehotel.it,,,Hotel San Michele
fabricia@elbalink.it,,,Fabricia
astoria@taddeihotels.it,,,Astoria
hotellafelicina@interfree.it,,,Hotel La Felicina
info@hotellombardiamontecatini.it,,,Hotel Lombardia e Sorgenti
info@santacostanza.net,,,Santa Costanza
minihotel@elbalink.it,,,Mini Hotel
dellarovere@chiantiturismo.it,,,Relais Della Rovere
info@villasangiovese.it,,,Villa Sangiovese Srl
info@borgodegliolivi.com,,,Borgo Degli Olivi
info@martiena.it,,,Hotel Fattoria Martiena
info@hotelilmelograno.it,,,Hotel Il Melograno
info@tenutalalupa.com,,,Tenuta La Lupa Country Hotel
archimede@val.it,,,Archimede
info@albergoiduecigni.it,,,Hotel I 2 Cigni
info@sanlorenzogrosseto.com,,,Sanlorenzo
flrnv-salesadm@hilton.com,,,Hilton Garden Inn Florence Novoli
info@villascarfi.it,,,Villa Scarfi
info@hotelcapriversilia.com,,,Capri
info@villailtrebbio.it,,,Villa Il Trebbio
info@strozzipalacehotel.it,,,Strozzi Palace Hotel
info@hotelalcide.com,,,Hotel Ristorante Alcide
